"species","stat.abund_max","stat.no_sites_abund_max","stat.no_sites_abund","stat.no_sites_abund_over25","stat.abund_median","stat.abund_mean","stat.no_sites_recorded","SELECTION"
"Silene vulgaris (Moench) Garcke subsp. vulgaris",37.5,12,60,12,0.5,8.38333333333333,60,"all"
"Soldanella alpina L.",37.5,9,33,9,0.5,11.469696969697,33,"all"
"Sorbus aucuparia L.",37.5,4,31,4,0.5,6.20967741935484,31,"all"
"Stachys recta L.",37.5,4,45,4,0.5,3.78888888888889,46,"all"
"Teucrium chamaedrys L.",37.5,15,34,15,15,19.3823529411765,35,"all"
"Thymus pulegioides L.",37.5,6,32,6,0.5,9.25,33,"all"
"Thymus serpyllum groupe",37.5,9,38,9,0.5,11.5526315789474,39,"all"
"Tragopogon pratensis L. subsp. orientalis (L.) Celak.",37.5,5,33,5,0.5,6.10606060606061,33,"all"
"Trichophorum cespitosum (L.) Hartman subsp. cespitosum",87.5,1,36,24,37.5,33.0277777777778,36,"all"
"Trifolium alpinum L.",37.5,17,50,17,7.75,15.4,50,"all"
"Trifolium badium Schreber",37.5,7,39,7,0.5,8.25641025641026,39,"all"
"Trifolium montanum L.",37.5,9,40,9,0.5,10.275,40,"all"
"Trifolium pratense L.",37.5,45,126,45,15,16.5912698412698,127,"all"
"Trifolium repens L.",37.5,24,76,24,0.5,14.6644736842105,77,"all"
"Trisetum flavescens (L.) P. Beauv. subsp. flavescens",37.5,31,69,31,15,20.2753623188406,69,"all"
"Trollius europaeus L.",37.5,6,31,6,0.5,10,31,"all"
"Vaccinium myrtillus L.",87.5,2,94,47,26.25,25.4734042553191,94,"all"
"Vaccinium uliginosum L. subsp. microphyllum (Lange) Tolm.",62.5,2,46,21,15,22.5760869565217,46,"all"
"Vaccinium uliginosum L. subsp. uliginosum",37.5,12,20,12,37.5,25.6,20,"all"
"Vaccinium vitis-idaea L., 1753",37.5,10,31,10,0.5,14.3064516129032,31,"all"
"Veratrum lobelianum Bernh. in Schrader",37.5,18,45,18,0.5,15.6222222222222,45,"all"
"Veronica chamaedrys L.",37.5,5,34,5,0.5,5.94117647058824,34,"all"
"Viola palustris L.",37.5,9,28,9,0.5,13.4285714285714,28,"all"
