"species","stat.abund_max","stat.no_sites_abund_max","stat.no_sites_abund","stat.no_sites_abund_over25","stat.abund_median","stat.abund_mean","stat.no_sites_recorded","SELECTION"
"Arrhenatherum elatius (L.) P. Beauv. ex J. & C. Presl subsp. elatius",37.5,9,30,9,15,15.4666666666667,30,"all"
"Artemisia absinthium L.",37.5,3,20,3,0.5,6.05,20,"all"
"Artemisia campestris L. subsp. campestris",37.5,12,21,12,37.5,23.0238095238095,21,"all"
"Artemisia genipi Weber",0.5,3,3,0,0.5,0.5,3,"all"
"Artemisia umbelliformis Lam.",0.5,1,1,0,0.5,0.5,1,"all"
"Artemisia vulgaris L.",37.5,1,4,1,7.75,13.375,4,"all"
"Arum maculatum L.",0.5,2,2,0,0.5,0.5,2,"all"
"Aruncus dioicus (Walter) Fernald",37.5,2,4,2,26.25,22.625,4,"all"
"Asarum europaeum L.",37.5,3,4,3,37.5,28.25,4,"all"
"Asperula cynanchica L.",37.5,3,16,3,0.5,7.4375,16,"all"
"Asplenium adiantum-nigrum L.",0.5,1,1,0,0.5,0.5,2,"all"
"Asplenium ramosum L. [1753]",37.5,1,6,1,0.5,6.66666666666667,6,"all"
"Asplenium ruta-muraria L.",0.5,4,4,0,0.5,0.5,4,"all"
"Asplenium ruta-muraria L. subsp. ruta-muraria",0.5,1,1,0,0.5,0.5,1,"all"
"Asplenium septentrionale (L.) Hoffm., 1795",0.5,6,6,0,0.5,0.5,6,"all"
"Asplenium trichomanes L.",NA,NA,NA,NA,NA,NA,1,"all"
"Asplenium trichomanes L. subsp. quadrivalens D.E. Meyer",15,1,4,0,0.5,4.125,4,"all"
"Asplenium x alternifolium subsp. alternifolium",0.5,1,1,0,0.5,0.5,1,"all"
"Aster alpinus L.",37.5,1,4,1,0.5,9.75,4,"all"
"Aster bellidiastrum (L.) Scop.",37.5,13,30,13,15,18.95,30,"all"
"Astragalus alpinus L.",37.5,1,5,1,0.5,7.9,5,"all"
"Astragalus glycyphyllos L.",0.5,1,1,0,0.5,0.5,1,"all"
"Astragalus monspessulanus L.",37.5,1,3,1,0.5,12.8333333333333,3,"all"
"Astragalus onobrychis L.",37.5,3,14,3,0.5,11.5357142857143,14,"all"
"Astragalus penduliflorus Lam.",0.5,2,2,0,0.5,0.5,2,"all"
"Astragalus sempervirens Lam.",0.5,1,1,0,0.5,0.5,1,"all"
"Astrantia major L.",37.5,6,21,6,0.5,12.452380952381,21,"all"
"Astrantia minor L.",37.5,5,14,5,0.5,14.75,14,"all"
"Athamanta cretensis L.",0.5,1,1,0,0.5,0.5,1,"all"
"Athyrium distentifolium Tausch ex Opiz",62.5,1,7,4,37.5,27.2857142857143,7,"all"
"Athyrium filix-femina (L.) Roth",37.5,7,20,7,0.5,14.9,20,"all"
"Avena versicolor Vill. (b.)",0.5,1,1,0,0.5,0.5,1,"all"
"Avenula pubescens (Hudson) Dumort.",37.5,11,26,11,15,18.3846153846154,26,"all"
"Avenula versicolor (Vill.) La.nz subsp. versicolor",37.5,13,36,13,7.75,15.875,36,"all"
"Bartsia alpina L.",37.5,18,46,18,0.5,16.2391304347826,46,"all"
"Bellardiochloa variegata (Lam.) Kergu.len",15,1,2,0,7.75,7.75,2,"all"
"Berberis vulgaris L.",37.5,2,6,2,0.5,12.8333333333333,6,"all"
"Berteroa incana (L.) DC.",37.5,1,8,1,0.5,5.125,8,"all"
"Betula alba L.",37.5,1,3,1,0.5,12.8333333333333,3,"all"
"Betula alba L. subsp. alba",37.5,1,2,1,19,19,2,"all"
"Betula alba L. subsp. glutinosa (Berher) Holub",0.5,1,1,0,0.5,0.5,1,"all"
"Betula pendula Roth",62.5,1,27,6,0.5,11.7962962962963,27,"all"
"Biscutella laevigata L.",37.5,2,19,2,0.5,5.92105263157895,19,"all"
"Blechnum spicant (L.) Roth",37.5,2,5,2,15,21.1,5,"all"
