"species","stat.abund_max","stat.no_sites_abund_max","stat.no_sites_abund","stat.no_sites_abund_over25","stat.abund_median","stat.abund_mean","stat.no_sites_recorded","SELECTION"
40437,4,2,652,0,1,1.41717791411043,3735,"all"
40505,3,2,32,0,1.5,1.5625,441,"all"
16010,2,2,3,0,2,1.66666666666667,13,"all"
6996,5,11,434,0,2,1.81566820276498,3346,"all"
5940,3,1,11,0,1,1.36363636363636,124,"all"
17313,3,1,8,0,1,1.5,52,"all"
40546,4,2,41,0,1,1.51219512195122,788,"all"
8327,NA,NA,NA,NA,NA,NA,2,"all"
9714,NA,NA,NA,NA,NA,NA,1,"all"
11274,NA,NA,NA,NA,NA,NA,1,"all"
10693,NA,NA,NA,NA,NA,NA,2,"all"
9615,NA,NA,NA,NA,NA,NA,2,"all"
11794,NA,NA,NA,NA,NA,NA,28,"all"
14767,3,3,75,0,1,1.36,1301,"all"
3477,3,1,3,0,1,1.66666666666667,55,"all"
40330,4,1,381,0,1,1.37007874015748,4181,"all"
40128,2,10,20,0,1.5,1.5,137,"all"
14242,4,3,278,0,1,1.37769784172662,1789,"all"
14885,4,6,104,0,1,1.66346153846154,645,"all"
12075,5,1,96,0,1,1.42708333333333,1157,"all"
2724,4,8,478,0,1,1.35355648535565,5428,"all"
17084,5,1,108,0,2,2.17592592592593,560,"all"
17074,2,2,9,0,1,1.22222222222222,200,"all"
3665,5,1,112,0,1,1.58035714285714,1443,"all"
7480,NA,NA,NA,NA,NA,NA,6,"all"
2969,1,1,1,0,1,1,91,"all"
13176,4,7,1113,0,1,1.46361185983828,8809,"all"
10905,3,2,12,0,1,1.5,284,"all"
3036,NA,NA,NA,NA,NA,NA,13,"all"
16744,5,1,22,0,2,2.09090909090909,474,"all"
10730,NA,NA,NA,NA,NA,NA,3,"all"
920,2,1,8,0,1,1.125,34,"all"
6794,3,9,239,0,1,1.43514644351464,2768,"all"
10602,3,1,209,0,1,1.16267942583732,2413,"all"
1905,NA,NA,NA,NA,NA,NA,8,"all"
6730,2,9,47,0,1,1.19148936170213,718,"all"
2264,1,1,1,0,1,1,15,"all"
11760,1,5,5,0,1,1,171,"all"
7500,1,7,7,0,1,1,277,"all"
11379,4,1,30,0,1,1.43333333333333,164,"all"
1154,2,2,6,0,1,1.33333333333333,39,"all"
6979,3,1,50,0,1,1.16,1008,"all"
12719,4,1,12,0,1,1.5,256,"all"
4127,2,1,1,0,2,2,37,"all"
15611,NA,NA,NA,NA,NA,NA,5,"all"
8427,4,2,6,0,2,2.33333333333333,97,"all"
8089,NA,NA,NA,NA,NA,NA,9,"all"
6710,5,1,203,0,1,1.27586206896552,2055,"all"
12902,2,5,38,0,1,1.13157894736842,592,"all"
14715,2,8,87,0,1,1.09195402298851,1249,"all"
3696,4,15,519,0,1,1.30250481695568,8391,"all"
10297,5,1,151,0,1,1.3841059602649,2497,"all"
8081,4,7,115,0,1,1.6,488,"all"
1735,4,2,82,0,1,1.54878048780488,1018,"all"
4634,5,9,3203,0,1,1.41461130190446,16885,"all"
16986,3,2,7,0,1,1.71428571428571,76,"all"
5025,2,11,37,0,1,1.2972972972973,493,"all"
10258,4,3,1179,0,1,1.20356234096692,7666,"all"
4042,5,2,222,0,1,1.31081081081081,2799,"all"
796,3,2,2,0,3,3,32,"all"
948,4,3,31,0,1,1.80645161290323,258,"all"
776,3,9,262,0,1,1.34351145038168,3216,"all"
7096,2,1,9,0,1,1.11111111111111,18,"all"
4509,3,1,167,0,1,1.1497005988024,328,"all"
4441,2,4,7,0,2,1.57142857142857,13,"all"
17408,3,1,7,0,2,1.71428571428571,34,"all"
5091,3,2,36,0,1,1.19444444444444,131,"all"
7491,3,3,307,0,1,1.2214983713355,839,"all"
6473,4,2,1726,0,1,1.24275782155272,6483,"all"
3460,3,4,41,0,1,1.58536585365854,124,"all"
8366,4,2,722,0,1,1.22714681440443,3364,"all"
1376,1,14,14,0,1,1,64,"all"
14077,1,3,3,0,1,1,5,"all"
14246,5,35,1430,0,2,1.9041958041958,7384,"all"
13985,3,2,4,0,2,2,61,"all"
8782,2,13,56,0,1,1.23214285714286,965,"all"
15332,3,3,16,0,2,1.75,72,"all"
10511,2,2,4,0,1.5,1.5,14,"all"
17077,3,2,5,0,2,2,202,"all"
40592,NA,NA,NA,NA,NA,NA,27,"all"
6883,2,1,11,0,1,1.09090909090909,114,"all"
13064,NA,NA,NA,NA,NA,NA,12,"all"
15709,3,2,201,0,1,1.23383084577114,2761,"all"
4008,4,2,22,0,2,1.90909090909091,303,"all"
6610,NA,NA,NA,NA,NA,NA,3,"all"
2979,4,1,1,0,4,4,17,"all"
4379,3,2,10,0,1.5,1.7,190,"all"
15639,3,2,2,0,3,3,17,"all"
14194,3,1,126,0,1,1.19047619047619,1952,"all"
40223,1,1,1,0,1,1,32,"all"
13899,NA,NA,NA,NA,NA,NA,25,"all"
40593,2,6,7,0,2,1.85714285714286,26,"all"
9252,3,2,15,0,1,1.46666666666667,185,"all"
9008,2,4,32,0,1,1.125,476,"all"
17097,5,1,396,0,1,1.10353535353535,5735,"all"
13990,NA,NA,NA,NA,NA,NA,6,"all"
8069,2,2,2,0,2,2,61,"all"
12410,5,2,84,0,1,1.54761904761905,885,"all"
619,NA,NA,NA,NA,NA,NA,2,"all"
14132,2,4,10,0,1,1.4,92,"all"
8048,5,3,566,0,1,1.46643109540636,3111,"all"
12117,3,4,211,0,1,1.11374407582938,1609,"all"
2802,2,1,4,0,1,1.25,34,"all"
13889,NA,NA,NA,NA,NA,NA,5,"all"
4359,NA,NA,NA,NA,NA,NA,3,"all"
4750,3,1,2,0,2,2,45,"all"
7489,3,2,6,0,2,2.33333333333333,118,"all"
4907,5,2,405,0,1,1.32098765432099,5002,"all"
16420,NA,NA,NA,NA,NA,NA,2,"all"
11856,NA,NA,NA,NA,NA,NA,3,"all"
5262,NA,NA,NA,NA,NA,NA,2,"all"
8066,NA,NA,NA,NA,NA,NA,4,"all"
2785,NA,NA,NA,NA,NA,NA,6,"all"
2522,1,2,2,0,1,1,24,"all"
16756,1,1,1,0,1,1,144,"all"
11204,2,1,2,0,1.5,1.5,88,"all"
40624,5,2,39,0,1,1.74358974358974,649,"all"
2646,4,1,16,0,2,1.875,238,"all"
1720,NA,NA,NA,NA,NA,NA,1,"all"
5327,NA,NA,NA,NA,NA,NA,5,"all"
3187,NA,NA,NA,NA,NA,NA,7,"all"
14575,NA,NA,NA,NA,NA,NA,1,"all"
1087,2,1,8,0,1,1.125,192,"all"
10451,NA,NA,NA,NA,NA,NA,1,"all"
5512,3,1,15,0,1,1.4,506,"all"
40516,1,7,7,0,1,1,598,"all"
13262,5,2,84,0,2,2.44047619047619,1637,"all"
2379,5,2,192,0,2,1.97395833333333,1047,"all"
13857,5,2,7,0,4,3.42857142857143,50,"all"
1056,1,1,1,0,1,1,30,"all"
12670,4,1,6,0,1,1.5,388,"all"
2552,2,5,5,0,2,2,145,"all"
10525,1,1,1,0,1,1,36,"all"
15299,NA,NA,NA,NA,NA,NA,1,"all"
11013,NA,NA,NA,NA,NA,NA,7,"all"
781,5,1,19,0,2,2.26315789473684,326,"all"
14875,5,3,23,0,3,2.8695652173913,339,"all"
8104,3,1,4,0,1.5,1.75,75,"all"
14319,3,1,6,0,1,1.5,106,"all"
4706,2,3,54,0,1,1.05555555555556,590,"all"
2044,4,3,108,0,1,1.57407407407407,941,"all"
6727,4,1,20,0,1,1.3,697,"all"
2417,5,5,388,0,1,1.64948453608247,4866,"all"
13291,2,1,1,0,2,2,59,"all"
14474,3,1,10,0,1,1.3,359,"all"
1382,5,4,106,0,2,1.84905660377358,1341,"all"
12525,4,7,289,0,2,1.73356401384083,1300,"all"
12881,1,1,1,0,1,1,94,"all"
5443,5,6,241,0,1,1.80497925311203,3499,"all"
