species	GROUP	height	dispersal	palatability	light
5582	H	3.87298334620742		3	4
17408	H				
13304	H	2.64575131106459	3		8
17370	P	31.6227766016838	6	2	5
17396	P	31.6227766016838	6	2	8
11313	P	34.6410161513775	6	0	5
11726	P	38.7298334620742	6	2	6
11729	P	31.6227766016838	6	2	6
11736	P	31.6227766016838	6	2	7
12010	P	31.6227766016838	5	2	6
12047	P	22.3606797749979	5	2	7
17343	P	50	4	2	3
23	P	38.7298334620742	4	2	4
9369	P	44.7213595499958	4	3	5
13081	P	38.7298334620742	4	2	5
17356	P	50	6	0	7
7895	P	50	6	2	4
17363	P	50	6	2	5
3340	P	38.7298334620742	4	2	7
17400	P	42.4264068711929	4	2	8
6	P	22.3606797749979	4	2	5
19	P	26.4575131106459	4	2	5
3325	P	28.2842712474619	4	2	7
