CODE_CBNA	MATURITY	LONGEVITY	HEIGHT	WOODY	DISPERSAL	LIGHT	LIGHT_TOLERANCE	SOIL	SOIL_TOLERANCE	GRAZ_MOW_TOLERANCE	PALATABILITY
846	2	5	1.5	Herbaceous	5	4	1	1.5	1	4	4
847			450	Herbaceous	2	4	1	3.5	1	2	
848			26	Herbaceous	5	4	1	2.5	1		
849			25	Herbaceous	5	4	1	2.5	1		
853				Herbaceous		4	1	2	1		
858		1	34.5	Herbaceous	2	4	1	3	1	2	
861			20	Suffrutescent	1	4	1	2	1		
865			30	Suffrutescent	2	4	1	2	1		
883			40	Suffrutescent	7	4	1	2.5	1	2	
887			40	Herbaceous	2	4	1	2.5	1		
889			15	Herbaceous	3	3	2	3	1	2	
891	1.5	5	107.5	Herbaceous	6	3	2	5	2	1	
893	2	8	80	Herbaceous	7	3	2	5	2	1	
895			145	Herbaceous	6	2	2	4	2	1	
897			80	Herbaceous	6	2	2	4	1	1	
898	1	5	83	Herbaceous	6	4	1	5	1	1	
902			6	unknown	3			1			4
904	3	5	16.1	Herbaceous		4	1	2	1	2	
906			12	Herbaceous	5	4	1	2	1	2	
911		6		unknown		4	2	3	1		
912		4	75	Herbaceous	5	4	1	4	1	1	
913			20	Frutescent	2	4	1	1.5	1	1	4
917			77.5	Herbaceous	7	4	1	4	1		
920			27.5	Herbaceous	3	4	1	2	1		
923				Herbaceous		4	1	4	1		
930	6	42	50	Suffrutescent	2	4	2	2	1	2	4
932			30	Suffrutescent	2	4	1	2	1	1	
933			25	Suffrutescent	2	5	1	2	1	1	
937				unknown		4	2	2	1	2	
940				unknown		5	1	3	1	1	
941		3	50	Frutescent	2	4	1	2	1		
944				unknown		3	2	4	1		
945				unknown		5	1	1.5	1		
948		13	12	Herbaceous	1	5	1	1.5	1		
950		12	14	Herbaceous	1	5	1	1.5	1		
955			40	Herbaceous	2	4	1	1.5	1		
968				unknown		4	1	4	1	1	
974		9	8	unknown		5	1	1.5	1		
975	3		13	Herbaceous	1	5	1	2	1		4
976	3	9	13	Herbaceous	1	5	1	2	1		4
977		13		unknown		5	1	2	1	1	
978		4	130	Herbaceous	2	4	2	4	1	2	
980			100	Herbaceous	6	4	2	4	1	2	
984		14	7	Herbaceous	3	5	1	2	1	2	
987		7	39	Herbaceous	5	3	2	2	1	1	
989	3	5	5	Herbaceous	3	3	2	2	1	1	4
994				Herbaceous		3	1	4	1	1	
995			84	Herbaceous	5	3	2	4	1	1	
998				unknown	3						
1000				Herbaceous		4	1	2	1		
1001			22.5	Herbaceous		4	1	2	1		
1002				Herbaceous		4	1	4	1	1	
1003				Herbaceous		3	2	4	1	1	
1009			40	Herbaceous	5	4	1	2	1	1	
1011				Herbaceous		4	1	2	1	1	
1013			60	Herbaceous	5	5	1	4	1	1	
1019			80	Herbaceous		3	2	3.5	1	1	
1023		3	50	Herbaceous	3	4	1	3.5	1		
1030				Herbaceous		3	1	3	1		
1043				Herbaceous		4	1	2	1	1	
1046			10	Herbaceous	6	4	1	3	2	4	
1050			20	Herbaceous		3	2	2	1	2	
1056			5	Herbaceous	3	5	1	2	1		
1057				Herbaceous		4	1	4	1		
1058				Herbaceous		4	1	4	1		
1060			45.5	Herbaceous	6	4	1	4	1		
1062				Herbaceous		3	1	4	1		
1063			76.5	Herbaceous	6	3	1	4	1		
1066			58	Herbaceous	6	4	1	4	1		
1067				Herbaceous		4	1	4	1		
1068			53	Herbaceous	6	4	1	4	1		
1071				Herbaceous		5	1	2	1		
1072		1	8.75	Herbaceous	1	4	1	2	1		
1076			40	Herbaceous	2	3	2	2	1	2	
1080	6		120	Herbaceous	5	2	2	4	1	1	4
1081			73	unknown				4			
1085	3	5	38.75	Herbaceous	5	2	2	2.5	1	2	1
1087	3	5	34	Herbaceous	5	5	1	1.5	1	2	1
1089			17.5	Herbaceous	6	4	1	3	1		
1093				Herbaceous		4	1	4	1		
1098				Herbaceous		4	1	4	1		
1099				Herbaceous		4	1	3	1	3	
1102			3.5	Herbaceous	3	4	1	1.5	1		
1103		4		Herbaceous		4	1	4	1	1	
1110				Herbaceous		4	1	3	1	2	
1112			35	Herbaceous	3	5	1	1.5	1	1	
1122		3	100	Herbaceous	3	4	2	4	1	1	
1124				unknown				4			
1126				Herbaceous	4	4	1	3	1	2	
1128				unknown				3			
1140			84.5	Herbaceous	3	4	1	3	1	1	
1147			27	unknown							
1151			50	Herbaceous	7	4	1	2.5	1	1	
1153				unknown	3			3			
1154			60	Herbaceous	7	4	1	4	1		
1156			70	Herbaceous		4	1	4	1		
1158				Herbaceous		4	1	4	1		
1161				Herbaceous		4	1	4	1		
1163		7	150	Herbaceous	4	3	2	5	1	2	
1165			55	Herbaceous	5	4	1	4	1		
1173			90	Herbaceous	5	4	1	4	1		
1177			60	Herbaceous		4	1	2	1	1	
1180				Herbaceous		3	2	3	1	2	
1181			8	Herbaceous	5	3	2	2.5	1	2	
1183		50	15	Herbaceous		4	2	2	1	2	
1184		50		Herbaceous		4	2	2	1	2	
1185			9.5	Herbaceous	6	4	1	2	1	2	
1188			40	Herbaceous	5	4	2	2	1	1	
1191				Herbaceous		4	1	3	1	1	
1198			37.5	Herbaceous	5	4	2	2.5	1	1	
1199			40	Herbaceous	4	4	2	2	1	1	
1201				Herbaceous		3	2	4	1		
1204		1	60	Herbaceous	3	4	1	4	1		
1206				Herbaceous		4	1	3	1		
1207			70	Herbaceous	6	4	1	2.5	1		
1212			43	Herbaceous	4	4	1	3	1	2	
1213			55	Herbaceous	2	3	1	1.5	1	2	
1221			30	Herbaceous	2	4	1	3	1		
1222				Herbaceous		4	1	3	1		
1223				Herbaceous		4	1	3	1		
1225				Herbaceous		4	1	2	1	1	
1226				Herbaceous		4	1	2	1	1	
1228			15	Herbaceous	1	3	2	2	1	1	
1231			30	Herbaceous	2	4	1	2	1	2	
1233		2	40	Herbaceous	3	4	1	3	1		
1241		3	45	Herbaceous	2	4	1	3	1	2	
1246	0.5	5	51	Herbaceous	7	4	1	3	2		
1247				Herbaceous		4	1	3	1	2	
1252				Herbaceous		4	1	3	1	2	
1255				Herbaceous		4	1	3	1		
1269			70	Herbaceous	7	4	1	3	1	3	
1276			50	Herbaceous	2	4	1	2	1	1	
1285		4		unknown		4	1	2	1	1	
1294			36.45	Herbaceous	5	3	2	3	1	2	
1300				Herbaceous		4	1	3	1	2	
1303			46.5	Herbaceous	7	4	1	3	1	2	
1304				Herbaceous		4	1	3	1	2	
1309				Herbaceous		4	1	3	1	2	
1313			70	Herbaceous	2	4	1	3	1	1	
1319				unknown				2			
1329				Herbaceous		4	2	2	1	2	
1331			30	Herbaceous	2	3	2	2	1	1	
1357			34.9	unknown	6			2			
1361	2	7	71.5	Herbaceous		4	2	2	1	2	
1368		2	55	Herbaceous	7	4	1	3.5	1		
1373	3		50	Herbaceous	7	4	1	2	1	1	
1376			60	Herbaceous	7	4	1	2.5	1	2	
1377			40	Herbaceous	2			2			
1378				Herbaceous		4	1	3	1	3	
1379			35	Herbaceous	3	3	2	2.5	1	2	
1382			40	Herbaceous		3	2	2.5	1	2	
1384			40	Herbaceous	3	3	2	2.5	1	2	
1385				Herbaceous		3	2	3	1	2	
1386			13	Herbaceous		4	1	2	1	1	
1387				Herbaceous		4	1	3	1	1	
1388		5	35	Herbaceous	5	4	1	2.5	1	2	
1389			29.54	Herbaceous	5	4	1	2	1	1	
1391		3		Herbaceous	2	4	1	2	1	1	
1408				Herbaceous		4	1	2	1		
1409		9	55	Herbaceous	5	4	1	3	1		
1450			41.5	Herbaceous	2	4	1	3.5	1		
1455	1.5		90	Herbaceous	3	3	2	4	1	1	4
1456				Herbaceous		3	2	4	1		
1459			90	Herbaceous	5	3	2	3	1		
1462				Herbaceous		4	1	4	1		
1467	2	5	70	Herbaceous	4	4	1	3	1	1	
1470		5		Herbaceous		4	1	3	1	1	
1489		16	5.5	Herbaceous	6	4	1	2.5	1	2	
1492	2	2	79	Herbaceous	7	3	2	4	1	3	
1495		1		Herbaceous		4	1	4	1	2	
1496				Herbaceous		3	2	4	1	2	
1497				Herbaceous		3	2	4	1	2	
1510		2	79.5	Herbaceous	5	4	1	4	1	2	
1514		9	130	Herbaceous	4	2	2	3	1	2	
1516			68	Herbaceous	7	4	1	2.5	1	2	
1523			28.75	Herbaceous	5	3	2	3.5	1	3	
1527			120	Herbaceous	5	3	2	3.5	1	2	
1529				Herbaceous		3	2	4	1	2	
1531			130	Herbaceous	5	3	2	4	1	2	
1532			125.5	Herbaceous	5	4	1	3.5	1	2	
1534		3	80	Herbaceous	5	3	2	3.5	1	3	
1535		2	92	Herbaceous	5	3	2	3	1	2	
1541		2	62.5	Herbaceous	5	4	1	3	1	3	
1544	3	9	13	Herbaceous	5	4	1	3.5	1	2	1
1546		3	65	Herbaceous	6	3	2	2	1	2	
1551	2	2	95	Herbaceous	6	4	1	4	1	3	
1552		2		Herbaceous		4	1	4	1	3	
1555			38	Herbaceous	1	4	1	3.5	1	2	
1563				Herbaceous		4	1	3	1		
1567			50	Herbaceous	7	4	1	4	1	1	
1568			56.5	Herbaceous	6	4	1	3	1	1	
1574			80	Herbaceous	7	4	1	4	1	1	
1581				Herbaceous		4	2	3	1		
1582				Herbaceous		4	1	3	1		
1583				Herbaceous		4	1	4	1		
1589			26	Herbaceous	5	5	1	1.5	1	1	
1590				Herbaceous		4	1	2	1	1	
1591		2	5	Herbaceous	5	4	1	3.5	1	3	
1595	0.5		63	Herbaceous	7	4	1	3.5	1	3	
1597			44	Herbaceous	7	4	1	3	1	2	
1599			9	Herbaceous	7			4			
1601			34	Herbaceous	7	4	1	3	1	5	
1602			10	Herbaceous	6	4	1	2.5	1	2	
1604			32.5	Herbaceous	7	4	1	4	1		
1606				Herbaceous		5	1	3	1		
1610				Herbaceous		3	2	2	2		
1611			41	Herbaceous	7	3	1	3	1	2	
1614			50	Herbaceous	7	4	1	3	1	3	
1615	0	2	50	Herbaceous	5	3	1	3	1	3	
1619			27	Herbaceous	5	3	2	2	1	1	
1620			47.5	Herbaceous	5	3	2	3.5	1		
1621		4	5	Herbaceous	3	5	1	2	1		
1622	3		33.5	Herbaceous	7	3	2	3.5	1	2	4
1623			6	Herbaceous	5	5	1	1.5	1		
1626			20	Herbaceous	5	4	1	3.5	1	2	
1627				Herbaceous		4	1	4	1	2	
1629			36.5	Herbaceous	7	4	1	4	1		
1634		4	24.5	Herbaceous		4	1	4	1		
1635				unknown		4	1	4	1	2	
1638			36.5	Herbaceous	7	4	1	3.5	1	2	
1639				Herbaceous		4	1	4	1	2	
1643				Herbaceous		5	1	3	1		
1647		1	50	Herbaceous	2	4	1	2	1		
1651				Herbaceous		4	1	4	1		
1652				Herbaceous		4	1	4	1		
1654				Herbaceous		4	1	4	1		
1656				Herbaceous		4	1	4	1		
1668			40	Herbaceous	5	4	1	3	1		
1669			65	Suffrutescent	5	5	1	4	1		
1671				Herbaceous		3	2	4	1		
1675		2		Herbaceous	3	5	2	3	1		
1680	3	6	17	Herbaceous	5	5	1	2.5	1		4
1684	3	4	69	Herbaceous	3	2	2	3	1	2	
1685			60	Herbaceous	3	2	2	3	1		
1690				Herbaceous		2	2	3	1		
1691				Herbaceous		4	2	4	1	1	
1692			40	Herbaceous	5	5	2	2	1	1	
1693	3	3	31	Herbaceous	6	4	1	4	1	1	
1695			27.5	Herbaceous	7	5	1	2	1	2	
1697				unknown	7						
1699			7.5	Herbaceous	3	4	1	2	1	2	
1706			68	Herbaceous	7	4	1	3.5	1	2	
1711			34	Herbaceous	5	4	1	2	1	2	
1719			17.5	Herbaceous	5	4	1	1.5	1	2	
1720			5.8	Herbaceous	4	5	1	2	1	2	
1726			16.5	Herbaceous	4	5	1	2	1	2	
1735			6	Herbaceous	5	5	1	1.5	1	2	
1741	0		100	Herbaceous	5	3	2	4	1	2	
1742			98	Herbaceous		3	2	4	1	2	
1766			15	Herbaceous	5	4	1	2	1		
1773		1	12	Herbaceous	6	4	1	2.5	1		
1775		2	18.5	Herbaceous	5	4	1	2.5	1		
1782	1	2	33	Herbaceous	7	4	1	4	2		
1783			20	Herbaceous	7	4	1	4	1		
1793				Herbaceous		5	1	3	1		
1821		1	13.5	Herbaceous	5	4	1	3	1	2	
1824				Herbaceous		4	1	4	1		
1828				Herbaceous		4	1	3	1		
1830			20	Herbaceous		4	1	3.5	1		
1831				Herbaceous		3	1	4	1		
1832		1		Herbaceous		4	1	4	1		
1835			177.5	Herbaceous	2	3	2	4	1	3	
1836			150	Herbaceous				4			
1838				Herbaceous		4	1	2	1	1	
1843				unknown		4	1	2	1		
1850		12	24.5	Suffrutescent	5	4	1	1.5	1		
1865			12.5	Herbaceous	3	4	1	1.5	1		
1868				Herbaceous		4	2	2	1	2	
1869	6		31.5	Herbaceous	3	4	1	1.5	1		2
1871			12	Herbaceous	3			1			
1887			21.5	Herbaceous	3	4	1	2	1	3	
1888				Herbaceous		4	1	2	1	3	
1905				Herbaceous	3						
1906			10	Herbaceous	3	4	2	2	1	2	
1921			27.5	Herbaceous	3	4	1	1.5	1		
1924				Herbaceous		4	2	2	1	2	
1926			31.5	Herbaceous		4	2	2	1	2	
1928				Herbaceous		3	1	2	1	2	
1939				Herbaceous		4	2	2	1	2	
1942				Herbaceous	3						
1948				Herbaceous	3						
1949				Herbaceous	3						
