species	name	GROUP	PFG	determinant
9612	Plantago_alpina	H	H1	TRUE
16696	Poa_alpina	H	H1	TRUE
16723	Poa_cenisia	H	H1	TRUE
16750	Poa_laxa	H	H1	TRUE
10106	Polygonum_viviparum	H	H1	TRUE
11202	Potentilla_aurea	H	H1	TRUE
11225	Potentilla_erecta	H	H1	TRUE
11233	Potentilla_grandiflora	H	H1	TRUE
10691	Ranunculus_glacialis	H	H1	TRUE
10699	Ranunculus_kuepferi	H	H1	TRUE
10715	Ranunculus_montanus	H	H1	TRUE
12274	Saxifraga_stellaris subsp.robusta	H	H1	TRUE
40028	Taraxacum_alpinum	H	H1	TRUE
14315	Trichophorum_cespitosum	H	H1	TRUE
7580	Trifolium_alpinum	H	H1	TRUE
7672	Trifolium_pallescens	H	H1	TRUE
7712	Trifolium_saxatile	H	H1	FALSE
7739	Trifolium_thalii	H	H1	FALSE
16968	Trisetum_distichophyllum	H	H1	TRUE
423	Heracleum_sphondylium subsp.elegans	H	H10	TRUE
15316	Agrostis_capillaris	H	H2	TRUE
15363	Agrostis_stolonifera	H	H2	TRUE
11030	Alchemilla_vulgaris	H	H2	FALSE
190	Astrantia_major	H	H2	TRUE
13872	Carex_caryophyllea	H	H2	TRUE
14094	Carex_sempervirens	H	H2	TRUE
272	Carum_carvi	H	H2	TRUE
5687	Chenopodium_bonus-henricus	H	H2	TRUE
16136	Festuca_nigrescens	H	H2	TRUE
11151	Fragaria_vesca	H	H2	TRUE
11803	Galium_aparine	H	H2	TRUE
11874	Galium_odoratum	H	H2	FALSE
11942	Galium_verum	H	H2	TRUE
8218	Geranium_sylvaticum	H	H2	TRUE
7107	Lathyrus_pratensis	H	H2	TRUE
2593	Leucanthemum_vulgare	H	H2	TRUE
7147	Lotus_corniculatus	H	H2	TRUE
479	Meum_athamanticum	H	H2	TRUE
7378	Onobrychis_montana	H	H2	TRUE
9670	Plantago_media	H	H2	TRUE
10113	Rumex_acetosa	H	H2	TRUE
10182	Rumex_pseudalpinus	H	H2	TRUE
16860	Sesleria_caerulea	H	H2	TRUE
7660	Trifolium_montanum	H	H2	TRUE
7680	Trifolium_pratense	H	H2	TRUE
139	Aegopodium_podagraria	H	H3	TRUE
15465	Anthoxanthum_odoratum	H	H3	TRUE
15482	Arrhenatherum_elatius subsp.elatius	H	H3	TRUE
1622	Crepis_pyrenaica	H	H3	TRUE
15813	Dactylis_glomerata	H	H3	TRUE
15838	Deschampsia_cespitosa	H	H3	TRUE
16219	Festuca_rubra	H	H3	TRUE
419	Heracleum_sphondylium	H	H3	TRUE
561	Pimpinella_major	H	H3	TRUE
9655	Plantago_lanceolata	H	H3	TRUE
16767	Poa_pratensis	H	H3	TRUE
10622	Ranunculus_acris	H	H3	TRUE
10130	Rumex_arifolius	H	H3	FALSE
3116	Taraxacum_officinale	H	H3	TRUE
7696	Trifolium_repens	H	H3	TRUE
10845	Trollius_europaeus	H	H3	TRUE
13120	Urtica_dioica	H	H3	TRUE
7796	Vicia_cracca	H	H3	TRUE
10398	Aconitum_lycoctonum subsp.vulparia	H	H4	TRUE
11057	Aruncus_dioicus	H	H4	TRUE
17798	Athyrium_filix-femina	H	H4	TRUE
17587	Dryopteris_dilatata	H	H4	TRUE
17589	Dryopteris_filix-mas	H	H4	TRUE
2740	Prenanthes_purpurea	H	H4	TRUE
15250	Achnatherum_calamagrostis	H	H5	TRUE
15299	Agrostis_agrostiflora	H	H5	TRUE
13677	Anthericum_liliago	H	H5	TRUE
989	Aster_bellidiastrum	H	H5	FALSE
15630	Briza_media	H	H5	TRUE
15654	Bromus_erectus	H	H5	TRUE
