CODE_CBNA	SPECIES	TYPE	PFG_ALL	PFG_DETERM	maturity	longevity	height	dispersal	dispersal_dist	palatability	light	SEED_MASS	LEAF_AREA	SLA	SLA_avg	LDMC	LDMC_avg	ELLTEMP	ELLMOIST	ELLPH	ELLNIT	ELLLITE	ELLLITE2	REPRO	FOLIAGE	DISP	FLORAISON	FRUIT	INFLO	MOWTOL	NUTR	ROOTDEPTH	WOODY	Chamaephyte	Geophyte	Helophyte	Hemicryptophyte	Hydrohemicryptophyte	Phanerophyte	Therophyte	decidous	evergreen	green.only.from.autumn.to.springtime	partly.wintergreen	pre.summergreen	wintergreen	without.green.leaves..full.parasites.or.saprophytes.	by.seed.and.vegetatively	by.seed.by.spore	mostly.by.seed.and.rarely.vegetatively	mostly.vegetatively.and.rarely.by.seed	vegetatively	bulb	fleshy.basal.leaves	hypocotyl.tuber	inconspicuous.reserve.organ	many.thick.non.lignified.roots	no.special.organ.to.store.energy	rhizome.tuber	rhizome.with.fleshy.organs	root.swelling	root.tuber	thick.lignified.main.roots	thick.rhizome	above.ground.runners	above.ground.shoots	basal.lateral.shoots	below.ground.runners	bulbils	bulbs	creeping.rhizome	creeping.shoots.or.espaliers	cushions	no.vegetative.dispersal.parts	root.shoots	tussocks..tufts
2543	Leucanthemopsis_alpina	C	C2	C2	3	8	3.46410161513775	1	2.71828182845905	3	8	0.387633405833333	0.418552036	15.5	15.4	132.71006525	132.71006525	NA	NA	NA	NA	NA	NA	seed	nopers	wind	su	Achene	solitary	2	Chlorophyllian	NA	herb	1	0	0	1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
10192	Rumex_scutatus	C	C2	C2	3	8	5	4	54.5981500331442	3	8	1.38166666666667	NA	NA	NA	NA	NA	6	7	8	5	8	m	seed	nopers	wind	sp	Achene	solitary	0	Chlorophyllian	4	herb	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
12055	Salix_glaucosericea	C	C2	NA	11	87	8.36660026534076	5	148.413159102577	2	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	nopers	wind	sp	Capsule	spike	0	Chlorophyllian	NA	wood	1	0	0	0	0	1	0	1	0	0	0	0	0	0	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
12057	Salix_hastata	C	C2	C2	11	14	10	5	148.413159102577	2	7	0.1525	NA	NA	NA	NA	NA	3.5	6.5	7.5	5	7	m	seed	nopers	wind	sp	Capsule	spike	0	Chlorophyllian	NA	wood	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
12130	Saxifraga_aizoides	C	C2	C2	3	20	3.87298334620742	1	2.71828182845905	3	7	0.04975	0.275	10.99	15.295	193.39	154.695	3	9	7.66666666666667	2.66666666666667	8	m	seed	pers	wind	sp	Capsule	raceme	0	Chlorophyllian	1	wood	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
12236	Saxifraga_oppositifolia	C	C2	C2	5	11	2	1	2.71828182845905	3	7	0.104408125	NA	NA	14.8	NA	NA	4	5	8	NA	7	m	seed	pers	wind	sp	Capsule	raceme	0	Chlorophyllian	1	wood	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
6190	Sempervivum_arachnoideum	C	C2	C2	3	NA	3.16227766016838	4	54.5981500331442	3	9	0.029	0.59015625	10.4477910743333	10.4477910743333	78.5967801666667	78.5967801666667	3	2	2	1	9	i	veget	pers	wind	sp	Follicle	solitary	0	Chlorophyllian	1	wood	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
8939	Thymus_polytrichus	C	C2	C2	3	9	2.23606797749979	6	403.428793492735	3	8	0.132941176	0.1644313725	13.302935795	13.302935795	NA	NA	NA	3.66666666666667	6	1.66666666666667	8	m	NA	pers	animal	sp	Achene	solitary	2	Chlorophyllian	2	wood	1	0	0	0	0	0	0	0	1	0	0	0	0	0	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
6493	Vaccinium_uliginosum subsp.microphyllum	C	C2	C2	5	76	4.47213595499958	6	403.428793492735	2	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	nopers	animal	sp	Berry	raceme	2	Chlorophyllian	1	wood	1	0	0	0	0	0	0	1	0	0	0	0	0	0	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
10289	Androsace_pubescens	C	C3	C3	5	NA	2.44948974278318	1	2.71828182845905	0	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	m	NA	pers	wind	sp	Capsule	umbel	0	Chlorophyllian	1	wood	1	0	0	0	0	0	0	0	1	0	0	0	0	0	NA	NA	NA	NA	NA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
