numtaxon	libcbna	genre	stat.abund_max	stat.no_sites_abund_max	stat.no_sites_abund	stat.no_sites_abund_over25	stat.abund_median	stat.abund_mean	stat.no_sites_recorded	SELECTION
10889	Frangula alnus Miller	Frangula	87.5	2	239	8	0.5	3.93305439330544	574	all
11057	Aruncus dioicus (Walter) Fernald									
11102	Crataegus monogyna Jacq.	Crataegus	37.5	1	231	1	0.5	2.4047619047619	658	all
11139	Filipendula ulmaria (L.) Maxim.	Filipendula	87.5	11	377	86	3	14.8249336870027	1067	all
11151	Fragaria vesca L.	Fragaria	37.5	1	356	1	0.5	2.50140449438202	863	all
11225	Potentilla erecta (L.) Räuschel	Potentilla	37.5	5	517	5	3	4.23887814313346	1514	all
11225	Potentilla erecta (L.) RÃ¤uschel									
11256	Potentilla neumanniana Reichenb.	Potentilla	37.5	1	124	1	0.5	2.51612903225806	749	all
11313	Prunus avium L.	Prunus	15	2	128	0	0.5	1.1171875	480	all
11354	Prunus spinosa L.	Prunus	15	2	36	0	0.5	1.65277777777778	489	all
11573	Rubus idaeus L.	Rubus	87.5	1	215	17	0.5	6.53953488372093	550	all
11710	Sanguisorba minor Scop.									
11726	Sorbus aria (L.) Crantz	Sorbus	37.5	7	494	7	0.5	3.18927125506073	1041	all
11729	Sorbus aucuparia L.									
11730	Sorbus aucuparia L. subsp. aucuparia	Sorbus	37.5	6	318	6	0.5	2.79088050314465	560	all
11732	Sorbus chamaemespilus (L.) Crantz									
11864	Galium mollugo L. subsp. erectum Syme	Galium	37.5	1	180	1	0.5	2.85833333333333	721	all
11874	Galium odoratum (L.) Scop.	Galium	62.5	3	343	18	3	7.95772594752187	591	all
12010	Populus tremula L.	Populus	87.5	1	155	5	0.5	4.6741935483871	471	all
12043	Salix cinerea L.	Salix	87.5	8	154	27	0.5	13.0422077922078	541	all
12845	Veronica chamaedrys L.	Veronica	15	5	133	0	0.5	1.7406015037594	563	all
13120	Urtica dioica L.	Urtica	87.5	5	131	19	3	11.6984732824427	664	all
13146	Valeriana dioica L.	Valeriana	62.5	1	182	4	3	4.91483516483517	526	all
13783	Colchicum autumnale L.	Colchicum	15	4	85	0	0.5	1.68235294117647	598	all
13814	Polygonatum verticillatum (L.) All.	Polygonatum	37.5	4	272	4	3	4.32352941176471	478	all
13838	Carex acutiformis Ehrh.	Carex	87.5	8	171	54	15	20.4883040935673	569	all
13872	Carex caryophyllea Latourr.	Carex	62.5	1	68	2	3	5.71323529411765	673	all
13892	Carex davalliana Sm.	Carex	62.5	1	124	13	3	7.68145161290323	519	all
13900	Carex digitata L.	Carex	37.5	2	169	2	0.5	2.58579881656805	463	all
13933	Carex flacca Schreber	Carex	62.5	1	397	13	3	4.47607052896725	1818	all
14009	Carex montana L.	Carex	62.5	3	236	13	3	7.37076271186441	615	all
14054	Carex panicea L.	Carex	62.5	5	303	35	3	9.74092409240924	812	all
14098	Carex sempervirens Vill. subsp. sempervirens	Carex	87.5	2	181	71	15	22.4585635359116	465	all
14114	Carex sylvatica Hudson	Carex	62.5	1	217	4	0.5	2.57834101382489	644	all
14144	Cladium mariscus (L.) Pohl	Cladium	87.5	8	97	33	3	22.5051546391753	246	all
14249	Schoenus nigricans L.	Schoenus	62.5	16	128	55	15	22.87890625	359	all
14607	Juncus filiformis L.	Juncus	62.5	1	35	3	3	7.24285714285714	557	all
14645	Juncus subnodulosus Schrank	Juncus	87.5	7	214	90	15	25.3411214953271	535	all
14863	Aceras anthropophorum (L.) Aiton fil.	Aceras	3	27	51	0	3	1.82352941176471	553	all
14871	Cephalanthera longifolia (L.) Fritsch	Cephalanthera	37.5	1	84	1	0.5	1.4702380952381	744	all
14950	Epipactis palustris (L.) Crantz	Epipactis	15	10	118	0	0.5	2.53389830508475	615	all
14965	Gymnadenia conopsea (L.) R. Br. in Aiton fil.	Gymnadenia	15	1	150	0	0.5	1.26333333333333	1079	all
14982	Listera ovata (L.) R. Br.	Listera	15	1	105	0	0.5	1.35238095238095	936	all
15156	Orchis mascula (L.) L.	Orchis	3	13	33	0	0.5	1.48484848484848	587	all
15162	Orchis militaris L.	Orchis	3	40	45	0	3	2.72222222222222	547	all
15195	Orchis simia Lam.	Orchis	3	7	29	0	0.5	1.10344827586207	563	all
15208	Platanthera bifolia (L.) L.C.M. Richard	Platanthera	3	8	96	0	0.5	0.708333333333333	556	all
15316	Agrostis capillaris L.	Agrostis	62.5	2	140	14	3	8.3	569	all
15482	Arrhenatherum elatius (L.) P. Beauv. ex J. & C. Presl subsp. elatius	Arrhenatherum	87.5	1	76	15	3	12.7828947368421	553	all
15624	Brachypodium rupestre (Host) Roemer & Schultes	Brachypodium	87.5	1	222	38	3	12.5157657657658	727	all
15627	Brachypodium sylvaticum (Hudson) P. Beauv. subsp. sylvaticum	Brachypodium	62.5	1	204	8	0.5	4.50735294117647	567	all
15630	Briza media L.	Briza	37.5	4	345	4	0.5	3.03478260869565	1252	all
15654	Bromus erectus Hudson	Bromus	87.5	8	385	166	15	23.7922077922078	2043	all
15813	Dactylis glomerata L.	Dactylis	62.5	6	223	22	3	7.98654708520179	968	all
15840	Deschampsia cespitosa (L.) P. Beauv. subsp. cespitosa	Deschampsia	62.5	4	181	13	0.5	5.93093922651934	628	all
15851	Deschampsia flexuosa (L.) Trin.	Deschampsia	62.5	2	127	12	3	8.98031496062992	593	all
16368	Holcus lanatus L.	Holcus	62.5	2	201	22	3	8.70398009950249	548	all
16522	Molinia caerulea (L.) Moench	Molinia	87.5	10	222	74	15	19.9301801801802	664	all
16524	Molinia caerulea (L.) Moench subsp. arundinacea (Schrank) K. Richter	Molinia	87.5	2	156	61	15	22.1634615384615	439	all
16538	Nardus stricta L.	Nardus	87.5	2	126	31	3	14.8968253968254	594	all
16676	Phragmites australis (Cav.) Steudel	Phragmites	87.5	28	448	146	15	22.890625	1051	all
16786	Poa trivialis L.	Poa	62.5	2	171	20	3	8.26608187134503	472	all
16860	Sesleria caerulea (L.) Ard., non sensu 4	Sesleria	62.5	9	265	42	3	11.7622641509434	737	all
17297	Juniperus communis L.	Juniperus	15	14	146	0	0.5	2.3013698630137	700	all
17343	Abies alba Miller	Abies	87.5	12	675	130	3	13.3874074074074	1074	all
17363	Picea abies (L.) Karsten	Picea	87.5	31	867	163	3	14.1239907727797	1744	all
17589	Dryopteris filix-mas (L.) Schott	Dryopteris	37.5	14	392	14	3	5.10714285714286	899	all
17798	Athyrium filix-femina (L.) Roth	Athyrium	87.5	3	257	34	3	9.97665369649805	672	all
40190	Carduus defloratus L. subsp. defloratus									
40496	Acer campestre L., 1753	Acer	37.5	1	267	1	0.5	2.44194756554307	731	all
40501	Allium ursinum L., 1753	Allium	87.5	4	71	29	15	24.6619718309859	224	all
40514	Carex elata All., 1785	Carex	87.5	7	274	84	15	19.4817518248175	592	all
40623	Rubus fruticosus groupe									
41178	Pilosella officinarum F.W.Schultz & Sch.Bip., 1862	Pilosella	15	6	68	0	0.5	2.11029411764706	748	all
41214	Cornus sanguinea L. subsp. sanguinea	Cornus	62.5	5	320	14	0.5	5.23125	1343	all
41290	Acer opalus Mill. subsp. opalus	Acer	62.5	3	258	10	3	5.67054263565892	594	all
41294	Euphorbia amygdaloides L. subsp. amygdaloides	Euphorbia                                         	15	1	143	0	0.5	1.26573426573427	471	all
