"species","stat.abund_max","stat.no_sites_abund_max","stat.no_sites_abund","stat.no_sites_abund_over25","stat.abund_median","stat.abund_mean","stat.no_sites_recorded","SELECTION"
"8742",37.5,1,57,1,0.5,3.03508771929825,642,"all"
"8846",15,6,53,0,0.5,2.70754716981132,272,"all"
"8849",3,19,41,0,0.5,1.65853658536585,261,"all"
"8863",37.5,6,107,6,3,6.2803738317757,701,"all"
"8885",15,5,46,0,0.5,2.94565217391304,225,"all"
"8905",15,8,73,0,0.5,2.91095890410959,202,"all"
"9042",3,48,107,0,0.5,1.6214953271028,405,"all"
"9089",15,7,157,0,0.5,2.07006369426752,383,"all"
"9369",87.5,9,587,74,3,10.454003407155,1154,"all"
"9387",37.5,4,186,4,0.5,3.58064516129032,643,"all"
"9402",62.5,1,176,3,3,6.84375,321,"all"
"9655",15,6,100,0,0.5,2.17,418,"all"
"9670",15,6,72,0,0.5,2.47222222222222,284,"all"
"9962",37.5,2,73,2,3,5.74657534246575,215,"all"
"9963",3,4,13,0,0.5,1.26923076923077,210,"all"
"9982",37.5,1,64,1,0.5,2.234375,307,"all"
