code_cbna	libelle
7618	Trifolium fragiferum L.
7623	Trifolium hybridum L.
7651	Trifolium medium L.
7660	Trifolium montanum L.
7668	Trifolium ochroleucon Hudson
7680	Trifolium pratense L.
7696	Trifolium repens L.
7702	Trifolium resupinatum L.
7709	Trifolium rubens L.
7719	Trifolium spadiceum L.
7770	Ulex europaeus L. subsp. europaeus
7796	Vicia cracca L.
7817	Vicia hirsuta (L.) S.F. Gray
7867	Vicia sepium L.
7875	Vicia tenuifolia Roth subsp. tenuifolia
7951	Centaurium erythraea Rafn subsp. erythraea
8023	Gentiana asclepiadea L.
8048	Gentiana cruciata L.
8059	Gentiana lutea L.
8069	Gentiana pneumonanthe L.
8090	Gentiana verna L.
8097	Gentianella campestris (L.) B÷rner
8100	Gentianella ciliata (L.) Borckh.
8101	Gentianella germanica (Willd.) B÷rner
8108	Swertia perennis L.
8175	Geranium dissectum L.
8190	Geranium molle L.
8194	Geranium palustre L.
8200	Geranium pratense L.
8203	Geranium pusillum L.
8204	Geranium pyrenaicum Burm. fil.
8214	Geranium sanguineum L.
8238	Globularia bisnagarica L.
8239	Globularia cordifolia L.
8331	Hypericum maculatum Crantz subsp. maculatum
8356	Hypericum tetrapterum Fries
8441	Acinos alpinus (L.) Moench subsp. alpinus
8459	Ajuga reptans L.
8501	Clinopodium vulgare L.
8525	Galeopsis pubescens Besser
8533	Galeopsis tetrahit L.
8539	Glechoma hederacea L.
8555	Lamium album L.
8576	Lamium maculatum L.
8577	Lamium purpureum L.
8595	Lycopus europaeus L.
8613	Mentha aquatica L. subsp. aquatica
8620	Mentha arvensis L.
8627	Mentha longifolia (L.) Hudson
8630	Mentha pulegium L.
8697	Origanum vulgare L. subsp. vulgare
8706	Prunella grandiflora (L.) Scholler
8712	Prunella vulgaris L.
8742	Salvia pratensis L.
8782	Scutellaria galericulata L.
8847	Stachys palustris L.
8849	Stachys recta L.
8863	Teucrium chamaedrys L.
8885	Teucrium montanum L.
8905	Teucrium scorodonia L.
8948	Thymus pulegioides L.
8985	Pinguicula alpina L.
9042	Linum catharticum L.
9070	Linum tenuifolium L.
9089	Lythrum salicaria L.
9144	Malva alcea L.
9157	Malva moschata L.
9159	Malva neglecta Wallr.
9271	Epilobium angustifolium L.
9280	Epilobium hirsutum L.
9283	Epilobium montanum L.
