CODE_CBNA	AGEFLOW_MAX	AGEFLOW_MIN	APOM	CATTLE	CHANGE_TENDENCY_INDK	CLONAab	CLONAbel	CLONRATE	CNRATIO	C_Plant	DEER	DIASPTYPE	DICH	DISP	DISP_INDK	DISP_VITTOZ	DNA	DOM_IN_SITU_INDK	ECOLOGICAL_GRP_INDK	ELLAER_INDK	ELLAER_INDK_VAR	ELLCONT	ELLCONT_INDK	ELLCONT_INDK_VAR	ELLHUMUS_INDK	ELLHUMUS_INDK_VAR	ELLLITE	ELLLITE_INDK	ELLLITE_INDK_VAR	ELLMOIST	ELLMOIST_INDK	ELLMOIST_INDK_VAR	ELLMOISTVAR_INDK	ELLNIT	ELLNIT_INDK	ELLNIT_INDK_VAR	ELLPH	ELLREAC_INDK	ELLREAC_INDK_VAR	ELLSALT	ELLSALT_INDK	ELLTEMP	ELLTEMP_INDK	ELLTEMP_INDK_VAR	ENDEM	FECUNDITY	FLONSET_BEG_INDK	FLONSET_END_INDK	FRUIT	GERMRATE	GERMREQ	GRAZ	GROWTHF	IMMIG_INVASIV_INDK	INFLO_DETAIL	INFLO_SIMPLE	L_ANAT	L_ANGLE	L_AREA	LATSPR	LCCp	LD13C	LD15N	LDMC	L_DRYM	Leaf_T_Strength	L_FORM	L_FRESHM	LHIST	LIFESPAN	LKC	L_LONG	LNC	LPC	LPERST_INDK	L_THICK	MAN_INFLUENCE_INDK	MAX_AGE	MEDIC_POISON_FX_INDK	MOW	MOW_TOLERANCE_INDK	MYCORR	NATURAL	NBCHROM	N_Plant	NUTR	Palatability	PL_H_flora_MIN	PLOIDY	PL_REPR_H	PL_VEG_H	PL_VEG_H_max	POLL_2ND_INDK	POLL_MAIN_INDK	REPROD_INDK	REPSTRAT	ROOT_DEPTH_INDK	ROOTMET	ROSET	SEEDH	SEEDL	SEED_LONGEVITY_INDK	SEEDM	SEEDPROD	SEEDW	SLA	STORAGE_ORGANS_INDK	STRAT_INDK	TAPROOT	VEG_DISP	WOODY
12078					=							multi-seeded generative dispersule	protogynous	Wind dispersal	meteorochory	5	0.47	in larger groups	pioneer plants of low elevation	1	small variation (I)	5.5	3	small variation (I)	1	large variation (II)	8	4	small variation (I)	8	3.5	large variation (II)	3	5	3	small variation (I)	7	4	small variation (I)	0		4.5	3.5	small variation (I)		79200	March	May	Capsule					idiochorophytes or indigenes	simple spike	spike	helomorphic_mesomorphic		8.815		483.781852722168			370.621098916326	0.05409		long-leaf	0.15892	Chamaephyte_Phanerophyte	pluriennial		summer green	32.119779586792		decidous		moderately close to nature (moderately urbanophobous)		edible_medicinal				Indigenous	19		Chlorophyllian	2	100	diploid	275	230	500			unisexual and dioecious		3.5		Erosulate plant				0.09			13.4564002914744	thick lignified main roots	ccr		above-ground shoots	Frutescent
12083				no or little forage value	>							multi-seeded generative dispersule		Wind dispersal	meteorochory	5		in larger groups	wetland plants	1	small variation (I)	7	2	small variation (I)	3	small variation (I)	8	4	small variation (I)	7	4	small variation (I)	3	3	2	small variation (I)	6.5	2	small variation (I)	0		5.5	3.5	small variation (I)			April	June	Capsule		Immediate germination	moderately tolerant to well tolerant		idiochorophytes or indigenes	simple spike	spike	mesomorphic		1.94					392.15	0.018876845245		simple		Chamaephyte	pluriennial		summer green			decidous		close to nature (strictly urbanophobous)		edible	intolerant to sensitive	1	Ectomycorrhiza ECM	Indigenous	19		Chlorophyllian		30	diploid	60	60	80			unisexual and dioecious	Polycarpic			Erosulate plant	1.735	1.995		0.044		1.785	14.1	thick lignified main roots	css		creeping shoots or espaliers	Frutescent
12086					=	Rooting stems		1				germinule_one-seeded generative dispersule	protogynous	Wind dispersal	meteorochory	5		in larger groups	mountain plants	2	small variation (I)	4	2	small variation (I)	2	small variation (I)	7	4	small variation (I)	6	3	small variation (I)	1	3	2	small variation (I)	8.5	5	small variation (I)	0		2.5	1.5	small variation (I)		6000	July	August	Capsule				forbs	idiochorophytes or indigenes	simple spike	spike	mesomorphic_scleromorphic	30	1.88	100				338.9800566	0.0205		full		Chamaephyte	pluriennial		summer green			decidous	0.26	close to nature (strictly urbanophobous)	56	edible		2		Indigenous	19		Chlorophyllian	0	2	diploid	9.25	5	6		entomogamous	unisexual and dioecious		2		Erosulate plant	0.3	1.25		0.12125		0.3	10.02	thick lignified main roots	css		creeping shoots or espaliers	Frutescent
12087					=								protogynous	Wind dispersal	meteorochory	5		in larger groups	mountain plants	3	large variation (II)	4	2	small variation (I)	1	large variation (II)	7	5	small variation (I)	6	3	small variation (I)	1	4	2	small variation (I)	8	4	small variation (I)			2	1.5	small variation (I)		6000	June	July	Capsule	48			forbs	idiochorophytes or indigenes	simple spike	spike	mesomorphic_scleromorphic	40	3.815	100	460.579605102539			321.761133603239	0.030815		simple	0.08825	Chamaephyte	pluriennial		summer green	23.2038736343384		decidous	0.24	close to nature (strictly urbanophobous)	77	edible		2		Indigenous	19		Chlorophyllian	0	1	hexaploid	3.5	4	3			unisexual and dioecious		3.5		Erosulate plant		1.5		0.36			13.7832107339028	thick lignified main roots	css		creeping shoots or espaliers	Frutescent
12089															meteorochory			in larger groups		1	small variation (I)		4	small variation (I)	3	small variation (I)		4	small variation (I)		4	small variation (I)	3		2	small variation (I)		3	small variation (I)				3.5	small variation (I)			April	June						idiochorophytes or indigenes															Chamaephyte_Phanerophyte						decidous		close to nature (strictly urbanophobous)		edible		1														unisexual and dioecious		1										thick lignified main roots	css		creeping shoots or espaliers	
12090					=									Wind dispersal	meteorochory	5		in larger groups	mountain plants	3	large variation (II)		4	small variation (I)	1	small variation (I)	7	5	small variation (I)		2.5	small variation (I)	1		2	small variation (I)		4	small variation (I)				1	small variation (I)			June	August	Capsule				forbs	idiochorophytes or indigenes	simple spike	spike	mesomorphic_scleromorphic	20	4.03	100	457.69947052002			340.487486801255	0.050395		simple	0.1509	Chamaephyte	pluriennial		summer green	23.3698153495789		decidous	0.12	close to nature (strictly urbanophobous)	59	edible		2		Indigenous	19		Chlorophyllian		1	diploid	1	1.5	3			unisexual and dioecious		1.5		Erosulate plant		1.5		0.1626666665			9.33656354826687	thick lignified main roots	css		creeping shoots or espaliers	Frutescent
12091					=							multi-seeded generative dispersule		Wind dispersal	meteorochory	5	0.5975	scattered or in small groups		1	small variation (I)	5	4	small variation (I)	1	large variation (II)	7	4	small variation (I)	8	4	small variation (I)	3	5	3	small variation (I)	7	4	small variation (I)	0		5	3.5	large variation (II)			April	June_May	Capsule					idiochorophytes or indigenes	simple spike	spike	helomorphic_mesomorphic		9.7					387.32	0.085765		simple		Chamaephyte_Phanerophyte	pluriennial		summer green	22.1	2	decidous		moderately close to nature (moderately urbanophobous)		edible_medicinal				Indigenous	19		Chlorophyllian		100	diploid_triploid	275	350	500			unisexual and dioecious				Erosulate plant	0.32	1.39		0.02		0.5	12.11	thick lignified main roots	ccs		above-ground shoots	Frutescent
12095					=							germinule_multi-seeded generative dispersule	protogynous	Wind dispersal	meteorochory	5	0.805	scattered	forest plants	1	small variation (I)	7	2	small variation (I)	1	small variation (I)	7	4	small variation (I)	8	4	large variation (II)	3	6	3	small variation (I)	6.5	4	small variation (I)	0		6	3.5	small variation (I)			March	April	Capsule					presumably indigenous in some areas of the study region and widely spread later but before 1500 AD	simple spike	spike	helomorphic_mesomorphic		3.705						0.03252		long-leaf		Phanerophyte	pluriennial		summer green			decidous		indifferent (urbanoneutral)	50	edible_medicinal				Indigenous	28.5		Chlorophyllian		200	diploid_tetraploid	400	350	400	entomogamous	entomogamous	unisexual and dioecious		3		Erosulate plant	0.25	0.7				0.25	11.51	thick lignified main roots	ccc		above-ground shoots	Frutescent
12099																																																									helomorphic_mesomorphic										long-leaf			pluriennial		summer green												19					diploid										Erosulate plant												
12102														Endozoochory	endochory	6		scattered or in small groups		2	large variation (II)		2	small variation (I)	2	small variation (I)	6	3	small variation (I)		1	small variation (I)	1		2	small variation (I)		4	small variation (I)		salt tolerant		5	small variation (I)			March	June	Drupe					idiochorophytes or indigenes	raceme of racemes	raceme			3.045					0.249534878365279	0.02351			0.094485	Chamaephyte_Phanerophyte						wintergreen		moderately close to nature (moderately urbanophobous)	6					Indigenous			Chlorophyllian		30		58.5	63.5	100			polysexual and dioecious								183.95			12.410831295	thick lignified main roots	ccs		no vegetative dispersal parts	Suffrutescent
