CODE_CBNA	AGEFLOW_MAX	AGEFLOW_MIN	APOM	CATTLE	CHANGE_TENDENCY_INDK	CLONAab	CLONAbel	CLONRATE	CNRATIO	C_Plant	DEER	DIASPTYPE	DICH	DISP	DISP_INDK	DISP_VITTOZ	DNA	DOM_IN_SITU_INDK	ECOLOGICAL_GRP_INDK	ELLAER_INDK	ELLAER_INDK_VAR	ELLCONT	ELLCONT_INDK	ELLCONT_INDK_VAR	ELLHUMUS_INDK	ELLHUMUS_INDK_VAR	ELLLITE	ELLLITE_INDK	ELLLITE_INDK_VAR	ELLMOIST	ELLMOIST_INDK	ELLMOIST_INDK_VAR	ELLMOISTVAR_INDK	ELLNIT	ELLNIT_INDK	ELLNIT_INDK_VAR	ELLPH	ELLREAC_INDK	ELLREAC_INDK_VAR	ELLSALT	ELLSALT_INDK	ELLTEMP	ELLTEMP_INDK	ELLTEMP_INDK_VAR	ENDEM	FECUNDITY	FLONSET_BEG_INDK	FLONSET_END_INDK	FRUIT	GERMRATE	GERMREQ	GRAZ	GROWTHF	IMMIG_INVASIV_INDK	INFLO_DETAIL	INFLO_SIMPLE	L_ANAT	L_ANGLE	L_AREA	LATSPR	LCCp	LD13C	LD15N	LDMC	L_DRYM	Leaf_T_Strength	L_FORM	L_FRESHM	LHIST	LIFESPAN	LKC	L_LONG	LNC	LPC	LPERST_INDK	L_THICK	MAN_INFLUENCE_INDK	MAX_AGE	MEDIC_POISON_FX_INDK	MOW	MOW_TOLERANCE_INDK	MYCORR	NATURAL	NBCHROM	N_Plant	NUTR	Palatability	PL_H_flora_MIN	PLOIDY	PL_REPR_H	PL_VEG_H	PL_VEG_H_max	POLL_2ND_INDK	POLL_MAIN_INDK	REPROD_INDK	REPSTRAT	ROOT_DEPTH_INDK	ROOTMET	ROSET	SEEDH	SEEDL	SEED_LONGEVITY_INDK	SEEDM	SEEDPROD	SEEDW	SLA	STORAGE_ORGANS_INDK	STRAT_INDK	TAPROOT	VEG_DISP	WOODY
887					=									Unassisted dispersal	anthropochory_dysochory	2		scattered or in small groups	weeds and ruderal plants	2	small variation (I)		4	small variation (I)	2	small variation (I)	7	4	small variation (I)		1.5	small variation (I)	1		2.5	small variation (I)		3	small variation (I)				4.5	small variation (I)			July	August	Achene					idiochorophytes or indigenes	corymb of capitulums	corymb													Chamaephyte_Hemicryptophyte_Therophyte						partly wintergreen		moderately close to nature (moderately urbanophobous)		medicinal				Indigenous			Chlorophyllian		25			40	50			polysexual								0.26				thick rhizome	crr		no vegetative dispersal parts	Herbaceous
889					=							one-seeded generative dispersule		Wind dispersal	myrmecochory	3		scattered or in small groups	forest plants	2	small variation (I)	4	2	small variation (I)	2	small variation (I)	4.5	3	large variation (II)	5	3.5	small variation (I)	1	5	3	small variation (I)	6	4	small variation (I)			4	2.5	small variation (I)			June	August	Achene					idiochorophytes or indigenes	simple capitulum	solitary													Hemicryptophyte						partly wintergreen		moderately close to nature (moderately urbanophobous)				2		Indigenous			Chlorophyllian		15		15	15	25		entomogamous_ornithophilous	hermaphroditic and normal sexual						4.5		2.17				thick rhizome	ccs		basal lateral shoots	Herbaceous
891	5	1.5			=							germinule_one-seeded generative dispersule	protandrous	Exozoochory	dysochory_epichory	6		in larger groups	weeds and ruderal plants	2	small variation (I)	4	4	small variation (I)	2	small variation (I)	9	3	large variation (II)	5	2.5	small variation (I)	2	9	5	large variation (II)	7	4	large variation (II)	0		6	3.5	small variation (I)			July	October	Achene		Immediate germination			presumably indigenous in some areas of the study region and widely spread later but before 1500 AD	raceme of capitulums	raceme	mesomorphic		210.78					196.88	1.29434		full		Hemicryptophyte	biennial_pluriennial		summer green			decidous		indifferent (urbanoneutral)	2	edible_medicinal		1	Arbuscular AM	Indigenous	9		Chlorophyllian		70	tetraploid	109.5	107.5	140		entomogamous	hermaphroditic and normal sexual	Monocarpic		Primary storage root	Hemirosette plant_Rosette plant	1.58	7.165	4	12.31		2.675	17	root swelling	ccr	yes	no vegetative dispersal parts	Herbaceous
893		2			=							germinule	protandrous	Exozoochory	dysochory_epichory	7		in larger groups	weeds and ruderal plants	2	small variation (I)	3	4	small variation (I)	2	small variation (I)	8	3	large variation (II)	4.5	2.5	small variation (I)	2	6.5	5	large variation (II)	7	4	large variation (II)	0		5	3	small variation (I)			July	September	Achene		Immediate germination_Scarification			presumably indigenous in some areas of the study region and widely spread later but before 1500 AD	raceme of capitulums	raceme	mesomorphic		1170					187	4.104936905		full		Hemicryptophyte	biennial_pluriennial		summer green			decidous		indifferent (urbanoneutral)	8	edible_medicinal		1	Arbuscular AM	Indigenous	8.5		Chlorophyllian		50	tetraploid	82.5	80	120		entomogamous	hermaphroditic and normal sexual	Monocarpic		Primary storage root	Hemirosette plant_Rosette plant	1.5	7.015	3	11.085		2.7	27.4	root swelling	ccr	yes	no vegetative dispersal parts	Herbaceous
895					>							germinule	protandrous	Exozoochory	dysochory_epichory	6		in larger groups	weeds and ruderal plants	2	small variation (I)	2	3	small variation (I)	2	small variation (I)	6	2	large variation (II)	7	3.5	small variation (I)	2	9	4	large variation (II)	7	3	small variation (I)			6	3	small variation (I)			June	August	Achene					idiochorophytes or indigenes	raceme of capitulums	raceme	hygromorphic										full		Hemicryptophyte	biennial		summer green			decidous		moderately close to nature (moderately urbanophobous)		edible_medicinal		1		Indigenous	9		Chlorophyllian		70	tetraploid	175	145	150			hermaphroditic and normal sexual			Primary storage root	Hemirosette plant	1.955	9		15.733		3.25		root swelling	ccr		no vegetative dispersal parts	Herbaceous
897					>							germinule		Exozoochory	dysochory_epichory	6		in larger groups	weeds and ruderal plants	2	small variation (I)		4	small variation (I)	2	small variation (I)	8	2	large variation (II)		3	small variation (I)	2		4	small variation (I)		3	small variation (I)				3	small variation (I)			July	August	Achene					idiochorophytes or indigenes															Hemicryptophyte						decidous		moderately close to nature (moderately urbanophobous)		edible_medicinal		1		Indigenous			Chlorophyllian		50			80	120			hermaphroditic and normal sexual												root swelling	ccr		no vegetative dispersal parts	Herbaceous
898	5	1			>							germinule	protandrous	Exozoochory	dysochory_epichory	6		in larger groups	weeds and ruderal plants	2	small variation (I)	7	5	small variation (I)	2	small variation (I)	8	4	small variation (I)	5	2	small variation (I)	2	9	5	small variation (I)	8	4	small variation (I)			5	3	small variation (I)			August	September	Achene					presumably indigenous in some areas of the study region and widely spread later but before 1500 AD	raceme of capitulums	raceme	mesomorphic_scleromorphic										full		Hemicryptophyte	biennial		summer green			decidous		indifferent (urbanoneutral)	2	edible_medicinal		1		Indigenous	9		Chlorophyllian		60	tetraploid	90	83	130		entomogamous	hermaphroditic and normal sexual			Primary storage root	Hemirosette plant	1.745	6.13		12.315		2.55	50	root swelling	ccr		no vegetative dispersal parts	Herbaceous
902	5	3		no or little forage value	>	Rooting stems						germinule	protandrous	Wind dispersal	meteorochory	3		in larger groups	mountain plants	1	small variation (I)	4	3	small variation (I)	3	small variation (I)	7	4	small variation (I)	5	3.5	small variation (I)	2	2	1.5	small variation (I)	3	2	small variation (I)			4	2	small variation (I)		4500	June	August	Achene	8		sensitive to moderately tolerant	forbs	idiochorophytes or indigenes	simple capitulum	solitary	mesomorphic_scleromorphic	0	12.332254902	10	433.364219666	-26.99	-3.789	166.039627	0.099245		simple		Hemicryptophyte	pluriennial		summer green	14.57185626	1.45	decidous	0.28	moderately close to nature (moderately urbanophobous)	3	medicinal_weakly to moderately poisonous	sensitive to moderately tolerant	2		Indigenous	18.5		Chlorophyllian	3	20	diploid	35	6	40		autogamous_entomogamous	polysexual	Polycarpic	2.5		Hemirosette plant_Rosette plant	0.55	6.5		1.57		0.88	19.198590175	thick rhizome	crs		basal lateral shoots	Herbaceous
906					>							generative dispersule_one-seeded generative dispersule	protandrous	Wind dispersal	boleochory	5		in larger groups	weeds and ruderal plants	3	small variation (I)	2	2	small variation (I)	2	small variation (I)	7	4	small variation (I)	4	2	small variation (I)	2	3	2	small variation (I)	3	2	small variation (I)	0		6	4.5	small variation (I)			June	September	Achene					presumably indigenous in some areas of the study region and widely spread later but before 1500 AD	simple capitulum	solitary	mesomorphic		11.34					99.76	0.037465		simple		Therophyte	annual		overwintering green			decidous_wintergreen		strictly hemerobic (strictly urbanophilous)				2		Indigenous	9		Chlorophyllian		12	diploid	17.5	12	25		entomogamous	hermaphroditic and normal sexual		1.5		Rosette plant	0.63	1.7	2	0.379		0.82	32.68	no special organ to store energy	rrr		no vegetative dispersal parts	Herbaceous
911					=										boleochory_epichory			scattered or in small groups	weeds and ruderal plants	2	small variation (I)		4	small variation (I)	2	small variation (I)		4	large variation (II)		3.5	small variation (I)	1		3	small variation (I)		3	small variation (I)		salt tolerant		5	small variation (I)			July	October						young species (archaeophytes)															Chamaephyte						decidous		strictly hemerobic (strictly urbanophilous)	6	edible_medicinal															anemogamous	polysexual												thick rhizome	ccr		no vegetative dispersal parts	
912					=							generative dispersule	protandrous	Unassisted dispersal	anthropochory_epichory	5	7.45	scattered or in small groups	weeds and ruderal plants	2	small variation (I)	7	4	small variation (I)	2	small variation (I)	8	4	small variation (I)	4	2	small variation (I)	1	8.5	4	small variation (I)	7	4	small variation (I)	0		6	4	small variation (I)			July	September	Achene		Dry storage				spike of capitulums	spike	scleromorphic		24.755					220.5	0.09943251888		pinnatifid		Chamaephyte_Hemicryptophyte	pluriennial		persistent green			partly wintergreen		indifferent (urbanoneutral)	4	medicinal_weakly to moderately poisonous		1		Indigenous	9		Chlorophyllian		40	diploid	75	75	90		anemogamous_entomogamous	polysexual	Polycarpic			Erosulate plant_Hemirosette plant	0.25	1.29		0.103		0.58	26.7	thick lignified main roots	crs		basal lateral shoots	Herbaceous
913					>									Unassisted dispersal	boleochory_epichory	2		scattered or in small groups		3	small variation (I)		4	small variation (I)	1	small variation (I)	9	4	small variation (I)		1	small variation (I)	1		1.5	small variation (I)		4	small variation (I)				4.5	small variation (I)			August	October	Achene					presumably indigenous in some areas of the study region and widely spread later but after 1500 AD	spike of capitulums	spike			6.62		477.161674499512			264.108535407299	0.113295			0.4315	Chamaephyte_Hemicryptophyte				21.6606640815735		decidous		moderately close to nature (moderately urbanophobous)		medicinal		1		Indigenous			Chlorophyllian	3	25		30.5	20	50			polysexual								0.1855			5.57175838655139	thick lignified main roots	crr		basal lateral shoots	Frutescent
917					<							generative dispersule	protandrous	Unassisted dispersal	boleochory_epichory	7	3.65	in larger groups	weeds and ruderal plants	2	small variation (I)	7	5	small variation (I)	2	small variation (I)	8.5	4	small variation (I)	4	3.5	small variation (I)	3	6	4	small variation (I)	7	3	small variation (I)		salt tolerant	7	4.5	small variation (I)			August	October	Achene					neophytes	spike of capitulums	spike	mesomorphic		8.875					231.015	0.02791		pinnatifid		Therophyte	annual		summer green			decidous		strictly hemerobic (strictly urbanophilous)		edible				Exogenous	9		Chlorophyllian		25	diploid	100	77.5	80		anemogamous	polysexual				Hemirosette plant	0.25	0.85		0.03		0.4	30.215	no special organ to store energy	crr		no vegetative dispersal parts	Herbaceous
920					=									Unassisted dispersal	boleochory_epichory	3		scattered or in small groups		3	small variation (I)		4	small variation (I)	2	small variation (I)	8	4	small variation (I)		2	small variation (I)	1		2	small variation (I)		4	small variation (I)				2	small variation (I)			July	August	Achene					idiochorophytes or indigenes	spike of capitulums	spike													Chamaephyte_Hemicryptophyte						decidous		close to nature (strictly urbanophobous)						Indigenous			Chlorophyllian		15			27.5	40			polysexual	Polycarpic											thick rhizome	css		basal lateral shoots	Herbaceous
923					<										anthropochory_boleochory			scattered or in small groups	weeds and ruderal plants	2	small variation (I)		4	small variation (I)	2	small variation (I)		4	small variation (I)		2	small variation (I)	1		4	small variation (I)		3	small variation (I)				4.5	small variation (I)			August	October						neophytes															Therophyte						decidous_wintergreen		strictly hemerobic (strictly urbanophilous)																anemogamous	autogamous	polysexual												no special organ to store energy	crr		no vegetative dispersal parts	
932					=									Unassisted dispersal	boleochory_epichory	2		in larger groups		3	small variation (I)		4	small variation (I)	2	large variation (II)	8	4	small variation (I)		1.5	small variation (I)	1		2	small variation (I)		4	large variation (II)				2.5	small variation (I)	Alpine orophyte		July	September	Achene					idiochorophytes or indigenes	spike of capitulums	spike													Chamaephyte_Hemicryptophyte						partly wintergreen		moderately close to nature (moderately urbanophobous)		edible		1		Indigenous			Chlorophyllian		20			30	40			polysexual						1.5		0.12				thick lignified main roots	css		basal lateral shoots	Suffrutescent
933					=									Unassisted dispersal	boleochory_epichory	2		in larger groups	mountain plants	3	small variation (I)		4	small variation (I)	1	small variation (I)	9	5	small variation (I)		2	small variation (I)	1		2	small variation (I)		3	small variation (I)				1.5	small variation (I)			July	August	Achene					idiochorophytes or indigenes	spike of capitulums	spike													Chamaephyte_Hemicryptophyte						partly wintergreen		close to nature (strictly urbanophobous)		edible		1		Indigenous			Chlorophyllian		15			25	40			polysexual												thick lignified main roots	css		basal lateral shoots	Suffrutescent
934	10	6			>		Roots with generative buds						protandrous	Unassisted dispersal	boleochory_epichory	2	5.5	in larger groups	unfertilized dry meadows	3	small variation (I)	5	4	small variation (I)	2	large variation (II)	8.5	4	large variation (II)	2	1	small variation (I)	1	2	2	small variation (I)	5	4	large variation (II)	0		6	3.5	large variation (II)		10000	July	September	Achene					idiochorophytes or indigenes			mesomorphic_scleromorphic		1.905					213.805	0.01063		pinnatifid		Chamaephyte_Hemicryptophyte	pluriennial		summer green			partly wintergreen		moderately close to nature (moderately urbanophobous)	42	edible		2		Indigenous	13.5		Chlorophyllian	3	30	diploid_tetraploid	45	50	85			polysexual		4		Hemirosette plant	0.25	1.22		0.1178		0.57	16.305	thick lignified main roots	crs		basal lateral shoots_root shoots	Suffrutescent
937															boleochory_epichory			in larger groups	unfertilized dry meadows	3	small variation (I)		4	small variation (I)	2	large variation (II)		4	large variation (II)		1	small variation (I)	1		2	small variation (I)		4	large variation (II)				3.5	large variation (II)			July	September						idiochorophytes or indigenes															Chamaephyte_Hemicryptophyte						partly wintergreen		moderately close to nature (moderately urbanophobous)		edible		2														polysexual		4										thick lignified main roots	crs		basal lateral shoots_root shoots	
940															boleochory_epichory			scattered or in small groups		3	small variation (I)		4	small variation (I)	2	small variation (I)		5	small variation (I)		2.5	small variation (I)	1		3	small variation (I)		4	small variation (I)				4.5	small variation (I)			July	September						idiochorophytes or indigenes															Hemicryptophyte_Therophyte						partly wintergreen		indifferent (urbanoneutral)				1													anemogamous	polysexual												root swelling	crs		no vegetative dispersal parts	
944					=										anthropochory_boleochory			scattered or in small groups	weeds and ruderal plants	2	small variation (I)		4	small variation (I)	2	small variation (I)		3	large variation (II)		2.5	small variation (I)	3		4	small variation (I)		3	small variation (I)				5	small variation (I)			August	October						archaeophytes															Geophyte_Hemicryptophyte						decidous		strictly hemerobic (strictly urbanophilous)		edible_medicinal															entomogamous	polysexual												thick rhizome	ccs		basal lateral shoots	
945	5	3			=									Unassisted dispersal	boleochory_epichory	1		scattered		3	small variation (I)		4	small variation (I)	1	small variation (I)	7	5	small variation (I)		2.5	small variation (I)	1		2	small variation (I)		3	small variation (I)				1	small variation (I)	Pyrenean orophyte	1250	June	August	Achene					idiochorophytes or indigenes															Chamaephyte_Hemicryptophyte						evergreen		close to nature (strictly urbanophobous)		edible_medicinal				Indigenous			Chlorophyllian	3	7			13	17			polysexual												thick lignified main roots	rss		basal lateral shoots	Herbaceous
948					=									Unassisted dispersal	boleochory_epichory	1		scattered	mountain plants	3	small variation (I)		4	small variation (I)	1	small variation (I)	8	5	small variation (I)		3	small variation (I)	2		1.5	small variation (I)		3	small variation (I)				1	small variation (I)			July	August	Achene					idiochorophytes or indigenes	spike of capitulums	spike													Chamaephyte_Hemicryptophyte						evergreen		close to nature (strictly urbanophobous)	13	edible				Indigenous			Chlorophyllian		6			12	15			polysexual		1				2		0.22			23.81	thick lignified main roots	rss		basal lateral shoots	Herbaceous
950					=									Unassisted dispersal	boleochory_epichory	1	4.26	scattered or in small groups	mountain plants	3	small variation (I)		4	small variation (I)	1	small variation (I)	8	5	small variation (I)		1.5	small variation (I)	1		1.5	small variation (I)		3	large variation (II)				1	small variation (I)	West Alpine orophyte		July	August	Achene					idiochorophytes or indigenes	spike of capitulums	spike													Chamaephyte_Hemicryptophyte						evergreen		close to nature (strictly urbanophobous)	12					Indigenous	8		Chlorophyllian		8	diploid		14	17			hermaphroditic and normal sexual												thick lignified main roots	css		basal lateral shoots	Herbaceous
955					>									Unassisted dispersal	boleochory_epichory	2		scattered		2	small variation (I)		5	small variation (I)	2	small variation (I)	7	4	small variation (I)		1.5	small variation (I)	1		1.5	small variation (I)		4	small variation (I)				3.5	small variation (I)	South Western Prealpine orophyte		June	September	Achene					idiochorophytes or indigenes	spike of capitulums	spike													Chamaephyte_Hemicryptophyte						evergreen		close to nature (strictly urbanophobous)						Indigenous			Chlorophyllian		35			40	70			polysexual												thick lignified main roots	css		basal lateral shoots	Herbaceous
968					=										anthropochory_boleochory			in larger groups	weeds and ruderal plants	2	small variation (I)		4	small variation (I)	2	small variation (I)		4	small variation (I)		2	small variation (I)	1		4	small variation (I)		4	small variation (I)		salt tolerant		4.5	small variation (I)			August	October						presumably indigenous in some areas of the study region and widely spread later but after 1500 AD															Chamaephyte_Hemicryptophyte						decidous		strictly hemerobic (strictly urbanophilous)		edible_medicinal		1													anemogamous	polysexual												thick rhizome	ccs		below-ground runners	
974	5	3			=								protandrous	Unassisted dispersal	boleochory_epichory	1	6.205	scattered or in small groups	mountain plants	2	small variation (I)		4	small variation (I)	1	small variation (I)	7	5	small variation (I)		3	small variation (I)	1		2	small variation (I)		3	small variation (I)				1	small variation (I)		1250	July	August	Achene					idiochorophytes or indigenes	spike of capitulums	spike			5.605		475.998687744141			231.317545298918	0.03421		pinnatifid	0.172265	Chamaephyte_Hemicryptophyte	pluriennial		persistent green	22.5600719451904		evergreen		close to nature (strictly urbanophobous)	9	edible_medicinal				Indigenous	13		Chlorophyllian	3	7	tetraploid	12	8	17		anemogamous_entomogamous	polysexual				Hemirosette plant							14.471403220268	thick lignified main roots	rss		basal lateral shoots	Herbaceous
977					=										boleochory_epichory			in larger groups	unfertilized dry meadows	2	small variation (I)		5	small variation (I)	2	small variation (I)		5	small variation (I)		1	small variation (I)	1		2	small variation (I)		5	small variation (I)		salt tolerant		4.5	small variation (I)			August	October						idiochorophytes or indigenes															Chamaephyte						wintergreen		moderately close to nature (moderately urbanophobous)	13	edible_medicinal		1														hermaphroditic and normal sexual												thick lignified main roots	css		basal lateral shoots_root shoots	
978					<								protandrous	Unassisted dispersal	boleochory_epichory	2		in large aeras, dominating	weeds and ruderal plants	2	large variation (II)	3	2	small variation (I)	2	small variation (I)	8	4	large variation (II)	6	2.5	small variation (I)	2	8	4	small variation (I)	7	3	small variation (I)			6	4.5	small variation (I)			September	November	Achene					"invasive neophytes (""agressive"")"	spike of capitulums	spike	mesomorphic										pinnatifid		Geophyte_Hemicryptophyte	pluriennial		persistent green			partly wintergreen		moderatly hemerobic (moderately urbanophilous)	4	edible_weakly to moderately poisonous		2		Indigenous	9		Chlorophyllian		60	hexaploid	200	130	150		anemogamous	polysexual	Polycarpic			Erosulate plant_Hemirosette plant								thick rhizome	ccr		below-ground runners	Herbaceous
980				no or little forage value	<		Roots with generative buds	1				generative dispersule	protandrous	Unassisted dispersal	boleochory_epichory	6	6	in larger groups	weeds and ruderal plants	1	small variation (I)		4	small variation (I)	2	small variation (I)	7	4	large variation (II)	6	2.5	small variation (I)	2	8	4	small variation (I)	8	3	small variation (I)	0		6	4	small variation (I)			July	September	Achene		Dry storage	moderately tolerant to well tolerant			spike of capitulums	spike	mesomorphic_scleromorphic		52.89					260	0.2552913636		pinnatifid		Geophyte_Hemicryptophyte	pluriennial		summer green			partly wintergreen		moderatly hemerobic (moderately urbanophilous)		medicinal_weakly to moderately poisonous	intolerant to sensitive	2	Arbuscular AM	Indigenous	13		Chlorophyllian		50	diploid_tetraploid	122.5	100	135		anemogamous	polysexual	Polycarpic	3.5		Erosulate plant_Hemirosette plant	0.35	1.4	3	0.168		0.44	22.9	thick rhizome	crs	no	basal lateral shoots	Herbaceous
984					=	Rooting stems		6				germinule	protandrous	Wind dispersal	meteorochory	3		scattered or in small groups	mountain plants	2	small variation (I)	5	4	small variation (I)	2	small variation (I)	9	5	small variation (I)	5	2	small variation (I)	1	2	2	small variation (I)	7	3	large variation (II)			2	2	small variation (I)			June	August	Achene				forbs	idiochorophytes or indigenes	simple capitulum	solitary	mesomorphic	45	1.830065359	25	460.35			253.64			long-leaf		Hemicryptophyte	pluriennial		overwintering green	21.93	1.935	wintergreen	0.2	moderately close to nature (moderately urbanophobous)	14	edible		2		Indigenous	9		Chlorophyllian		6.5	diploid_tetraploid	8.8	7	17.5	entomogamous	entomogamous	unisexual and monoecious	Polycarpic	1		Hemirosette plant	0.6	3.5		1.016666667		1.49	13.84	inconspicuous reserve organ	crs	no	basal lateral shoots	Herbaceous
987				little to intermediate forage value	>							generative dispersule_germinule_one-seeded generative dispersule	protandrous	Wind dispersal	meteorochory	5		scattered or in small groups	unfertilized dry meadows	1	small variation (I)	6	4	small variation (I)	2	small variation (I)	7.5	3	large variation (II)	4	2	small variation (I)	2	3	2	small variation (I)	9	5	small variation (I)			6	3.5	small variation (I)			August	September	Achene			sensitive		idiochorophytes or indigenes	corymb of capitulums	corymb	mesomorphic		5.75					207.335	0.031325		long-leaf		Hemicryptophyte	pluriennial		summer green			decidous		close to nature (strictly urbanophobous)	7	edible	sensitive	1		Indigenous	9		Chlorophyllian		30	diploid_hexaploid_tetraploid	30	39	70		entomogamous_ornithophilous	unisexual and monoecious		3		Hemirosette plant	0.61	2.65		0.764857143		1.39	17.44	inconspicuous reserve organ	crs		basal lateral shoots	Herbaceous
989	5	3			>				19.616172535				protandrous	Wind dispersal	meteorochory	3		scattered or in small groups	mountain plants	1	small variation (I)	4	3	small variation (I)	2	small variation (I)	6.5	3	large variation (II)	5	3.5	small variation (I)	3	4	2	small variation (I)	8	4	large variation (II)			3	2	large variation (II)		1400	May	June	Achene					idiochorophytes or indigenes	simple capitulum	solitary	mesomorphic		6.6131		417.6892662			170.844327	0.0276		simple	0.14545	Hemicryptophyte	pluriennial		summer green	21.90799117		wintergreen		moderately close to nature (moderately urbanophobous)	2	edible		1		Indigenous	9		Chlorophyllian	3	12	diploid	20	5	9	entomogamous	entomogamous	unisexual and monoecious		2		Rosette plant		2.25		0.21			25.20779661	inconspicuous reserve organ	crs		basal lateral shoots	Herbaceous
994					=										dysochory_meteorochory			in larger groups		1	large variation (II)		2	small variation (I)	2	large variation (II)		3	small variation (I)		3	small variation (I)	3		4	small variation (I)		4	small variation (I)				4.5	small variation (I)			August	November						neophytes															Geophyte						partly wintergreen		moderatly hemerobic (moderately urbanophilous)		edible		1												entomogamous	entomogamous	unisexual and monoecious												inconspicuous reserve organ	ccr		below-ground runners	
1000															meteorochory			in larger groups	unfertilized dry meadows	2	small variation (I)		5	small variation (I)	2	small variation (I)		4	small variation (I)		1.5	small variation (I)	1		2	small variation (I)		4	small variation (I)				4.5	small variation (I)			August	September						idiochorophytes or indigenes															Hemicryptophyte						decidous		moderately close to nature (moderately urbanophobous)		edible														entomogamous	entomogamous	hermaphroditic and normal sexual		1.5										inconspicuous reserve organ	crs		basal lateral shoots	
1001					>							one-seeded generative dispersule	protandrous	Wind dispersal	meteorochory	3		in larger groups	unfertilized dry meadows	2	small variation (I)	5	5	small variation (I)	2	small variation (I)	8	4	small variation (I)	2.5	1.5	small variation (I)	1	1.5	2	small variation (I)	8	4	small variation (I)	0		7	4.5	small variation (I)			August	September	Achene					idiochorophytes or indigenes	corymb of capitulums	corymb	mesomorphic_scleromorphic		0.68					253.74	0.006075		grass-like		Hemicryptophyte	pluriennial		summer green			decidous		moderately close to nature (moderately urbanophobous)		edible				Indigenous	9		Chlorophyllian		10	diploid_tetraploid	30	22.5	25		entomogamous	hermaphroditic and normal sexual		1.5		Hemirosette plant	0.66	3.47		1.34		1.25	11.44	inconspicuous reserve organ	crs		basal lateral shoots	Herbaceous
1002					<										dysochory_meteorochory			in larger groups	wetland plants	1	small variation (I)		3	small variation (I)	2	small variation (I)		4	small variation (I)		3.5	small variation (I)	2		4	small variation (I)		4	large variation (II)		salt dependant		5	small variation (I)			September	November						neophytes															Geophyte						decidous		moderatly hemerobic (moderately urbanophilous)		edible		1												entomogamous	entomogamous	unisexual and monoecious												inconspicuous reserve organ	ccr		below-ground runners	
1011					=									Wind dispersal	meteorochory	5		scattered or in small groups		1	large variation (II)		4	small variation (I)	2	small variation (I)	7	4	small variation (I)		1.5	small variation (I)	2		2	small variation (I)		4	small variation (I)		salt tolerant		4	small variation (I)			September	October	Achene					idiochorophytes or indigenes	raceme of capitulums	raceme													Hemicryptophyte						decidous		indifferent (urbanoneutral)				1		Indigenous			Chlorophyllian		30			40	50			unisexual and monoecious								0.564				inconspicuous reserve organ	crs		basal lateral shoots	Herbaceous
1013					=									Wind dispersal	meteorochory	5		scattered or in small groups		3	small variation (I)		3	small variation (I)	1	large variation (II)	8	5	small variation (I)		2.5	small variation (I)	3		4	small variation (I)		4	small variation (I)		salt tolerant		4.5	small variation (I)			September	October	Achene					neophytes	raceme of capitulums	raceme													Hemicryptophyte						decidous		moderatly hemerobic (moderately urbanophilous)				1		Exogenous			Chlorophyllian		25			60	80		ornithophilous	unisexual and monoecious								0.1				inconspicuous reserve organ	crs		no vegetative dispersal parts	Herbaceous
1019					=		Stem-derived rhizomes	6					protandrous	Wind dispersal	dysochory_meteorochory	5		in larger groups		1	large variation (II)	6	2	small variation (I)	2	large variation (II)	7	3	large variation (II)	5	3	small variation (I)	3	6	4	small variation (I)	7	4	large variation (II)	1	salt tolerant	7	4.5	small variation (I)			August_September	November_September	Achene					neophytes_young species (neophytes)	raceme of capitulums	raceme	mesomorphic		6.83					291	0.044		long-leaf		Geophyte_Hemicryptophyte	pluriennial		summer green			decidous		moderatly hemerobic (moderately urbanophilous)		edible		1		Exogenous	8.5		Chlorophyllian		60	diploid_hexaploid_octoploid_tetraploid	90	80	110	entomogamous	entomogamous	unisexual and monoecious	Polycarpic			Erosulate plant_Hemirosette plant				0.45			14.365	inconspicuous reserve organ	ccr	no	below-ground runners	Herbaceous
1023														Wind dispersal	epichory_meteorochory	3		scattered		2	small variation (I)		3	small variation (I)	2	small variation (I)	8	4	small variation (I)		1	small variation (I)	1		3.5	small variation (I)		3	small variation (I)				5	small variation (I)			May	August	Achene					idiochorophytes or indigenes															Hemicryptophyte_Therophyte						partly wintergreen		indifferent (urbanoneutral)	3					Indigenous			Chlorophyllian		30			50	60			polysexual												no special organ to store energy	crr		no vegetative dispersal parts	Herbaceous
1030															boleochory_myrmecochory			in larger groups		2	small variation (I)		3	small variation (I)	2	small variation (I)		3	small variation (I)		3	small variation (I)	1		3	small variation (I)		3	small variation (I)				5	small variation (I)			June	September						archaeophytes															Hemicryptophyte						decidous		strictly hemerobic (strictly urbanophilous)		edible_medicinal															entomogamous	hermaphroditic and normal sexual												inconspicuous reserve organ	ccs		below-ground runners	
1043					=										boleochory_endochory			scattered		1	small variation (I)		2	small variation (I)	2	small variation (I)		4	small variation (I)		3	small variation (I)	3		2	small variation (I)		3	small variation (I)		salt tolerant		5	small variation (I)			November	June						idiochorophytes or indigenes															Therophyte						wintergreen		indifferent (urbanoneutral)		medicinal		1														polysexual												no special organ to store energy	crr		no vegetative dispersal parts	
