CODE_CBNA	MATURITY	LONGEVITY	HEIGHT	WOODY	LHIST	DISPERSAL	LIGHT	LIGHT_TOLERANCE	NITROGEN	NITROGEN_TOLERANCE	MOISTURE	GRAZ_MOW_TOLERANCE	PALATABILITY
11013			25	Herbaceous	Chamaephyte_H	6	4	1	1.5	1	2		
11014				Herbaceous	Geophyte_Hemicryptophyte		3	2	2	1	3	3	
11016				Herbaceous	Geophyte_Hemicryptophyte		4	1	3	1	4		
11018				Herbaceous	Geophyte_Hemicryptophyte		3	2	3	1	3.5	3	
11019			6	Herbaceous	Geophyte_Hemicryptophyte		4	2	2	2	3.5		
11020				Herbaceous	Geophyte_Hemicryptophyte		3	2	3	1	4	3	
11021				unknown		6							
11022				Herbaceous	Geophyte_Hemicryptophyte		3	2	4	1	3.5	4	
11023			25	Herbaceous	Chamaephyte_H	6	3	2	3	1	3.5	2	
11024				Herbaceous	Geophyte_Hemicryptophyte		3	2	3	2	3	4	
11025				Herbaceous	Chamaephyte_H	6	4	1	1.5	1	2		
11026				Herbaceous	Geophyte_Hemicryptophyte		3	2	3	1	3	3	
11027				Herbaceous	Geophyte_Hemicryptophyte		4	1	4	1	3.5	3	
11028				Herbaceous	Geophyte_Hemicryptophyte		3	2	3	1	4	3	
11029				Herbaceous	Geophyte_Hemicryptophyte		4	1	2	1	3	3	
11030	6	10	37	Herbaceous	Geophyte_Hemicryptophyte	6	3	2	4	1	3.5	4	4
11035	3	5	5.6	Herbaceous	Geophyte_Hemicryptophyte	7	3	2	3.5	1	3.5	4	4
11037				Frutescent	Phanerophyte		3	2	3	1	3.5		
11038			200	Frutescent	Chamaephyte_S	6	4	1	2	1	1		3
11039			250	Frutescent	Chamaephyte_S	6	4	1	2	1	2		
11046			11.5	Herbaceous	Therophyte	6	4	1	2.5	1	2.5		
11048			6	Herbaceous	Therophyte	6	4	1	2	1	1.5		
11050				Herbaceous	Therophyte		4	1	2	1	1.5		
11057		12	546.5	Herbaceous	Geophyte_Hemicryptophyte	1	2	2	4	1	3.5		2
11068				Frutescent	Phanerophyte		3	2	3	1	3		
11073			200	Frutescent	Chamaephyte_S	6	3	1	2.5	1	2.5		
11074				Frutescent	Phanerophyte		4	1	2	1	2	2	
11075		43	17.5	Frutescent	Chamaephyte_S	6	4	1	2	1	1.5		3
11077			20	Frutescent	Chamaephyte_S	6	4	1	2	1	2		
11081				Frutescent	Phanerophyte		3	1	2	1	2.5		
11082			80	Frutescent	Chamaephyte_S	6	4	1	2	1	1.5		
11086			80	Frutescent	Chamaephyte_S		3	1	2	1	2		
11087				Frutescent	Phanerophyte		3	1	2	1	1.5		
11096			450	Frutescent	Chamaephyte_S	6	3	2	3	1	3.5		
11102		300	300	Frutescent	Chamaephyte_S	6	4	1	3	1	3	1	4
11107				Frutescent	Phanerophyte		3	2	3	1	3.5		
11111				Frutescent	Phanerophyte		3	1	2	1	3		
11114				Frutescent	Phanerophyte		3	2	3	1	3		
11115				Frutescent	Phanerophyte		3	1	2	1	3		
11133			405	Frutescent	Phanerophyte	6	3	2	3	1	3		
11135	1	108	2.5	Frutescent	Chamaephyte_S	3	5	1	1.5	1	2.5		1
11136			10	Herbaceous	Geophyte_Hemicryptophyte	6	3	2	4	1	3	3	
11137				Frutescent	Phanerophyte		4	1	3	1	3		
11139		3	97	Herbaceous	Geophyte_Hemicryptophyte		3	2	4	1	4	3	
11141	2	3	120	Herbaceous	Geophyte_Hemicryptophyte	6	3	2	4	1	4	3	
11142		18	48	Herbaceous	Geophyte_Hemicryptophyte	5	3	2	2	1	2.5	2	
